#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            4107.3838874029125    All      -0.7850605392890447       0.6038028761615521         -0.12615262698342486       0.4467688943172208        
Zeropoint     AB|SDSS|SDSS_z            7738.152596600753     All      0.1064311135026048        0.002215232775526488       0.12212466778477354        -0.028496677928522587     
Zeropoint     AB|SDSS|SDSS_i            6508.574552233898     All      0.9563983862532343        0.02682563741558397        0.4477922111281304         -0.2828095165840705       
Zeropoint     AB|SDSS|SDSS_r            5367.122865727528     All      0.8079109527990962        0.32067391527625944        -0.5243636419462617        -0.18210907376855853      
Zeropoint     AB|SDSS|SDSS_u            3123.6101996754614    All      -0.09306203769604028      0.046959775287191974       0.08642185679959723        0.049466321617191236      
Check         All|All|All               All                   All      0.99261787556985          1.000477436916114          0.005822466782814603       0.002819947653260421      
Lambda        AB|SDSS|SDSS_g            4107.3838874029125    All      -0.0006850479103229719    0.00030642679589033513     -0.0014911702654776418     0.00025641185011168407    
Lambda        AB|SDSS|SDSS_z            7738.152596600753     All      -6.6366585301262e-07      6.783467720935412e-07      8.25499544515638e-06       8.055201957956304e-07     
Lambda        AB|SDSS|SDSS_i            6508.574552233898     All      -0.0002558678150433377    -1.9786593418434813e-05    -0.00030939636010248015    6.309248217943424e-05     
Lambda        AB|SDSS|SDSS_r            5367.122865727528     All      0.00022347045489130716    7.140151552606764e-05      -0.0006326574318211375     -7.776645196245451e-05    
Lambda        AB|SDSS|SDSS_u            3123.6101996754614    All      -6.208053220333408e-05    3.2607784749894646e-05     6.77864539742103e-05       3.3868098093711907e-05    
MWEBV         All|All|All               All                   All      -0.7691364158970582       -3.3540475999892294        0.19767563827967327        -0.8331692578657512       
Redshift      All|All|All               All                   All      5.472142026712405         -0.3832171239134041        7.238590177164622          -1.5842580769883567       
