#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_B    4264.274000658137     All      -0.9983748374668704       0.8687560083815882        0.2351012681471587        0.6186774330894526        
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_I    7747.654732038527     All      0.5007911420350372        0.013332531517207258      0.5657051617045772        -0.13353648318055467      
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_R    6375.630123109184     All      1.2305646489050952        -0.12026807501239745      -0.18495644471837602      -0.4482644159100685       
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_V    5334.8311223626515    All      0.26483210937766266       0.22944195540679502       -0.6263796496627672       -0.03948018435656897      
Check         All|All|All                                All                   All      0.9978130628509247        0.991262420293193         -0.01052966452940729      -0.002603650357739573     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_B    4264.274000658137     All      -0.0009266340590352883    0.0007649103416278696     -0.0006503268248008266    0.0005219705621060081     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_I    7747.654732038527     All      -5.916596473948642e-05    2.6424111899641493e-05    3.461036369173961e-05     2.9424005363158385e-05    
Lambda        Linear_AB11_off|CalanTololo|Bessell12_R    6375.630123109184     All      -0.0002475033064818646    8.560419138816044e-06     -0.0006046670492156831    5.6424866409815014e-05    
Lambda        Linear_AB11_off|CalanTololo|Bessell12_V    5334.8311223626515    All      -4.773327987615575e-05    7.867711675367698e-05     -0.0022234964136491316    -5.804840783065093e-05    
MWEBV         All|All|All                                All                   All      -0.8030492550411967       -3.9682183788366743       0.07212587217292898       -1.027781068178432        
Redshift      All|All|All                                All                   All      6.356763711763375         -2.305412919956673        7.965121290389704         -2.466109125386534        
