#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                8123.348911901786    All      0.3016653689750733        -0.09560232206364816       0.05511125458449212        -0.12694379451486842       
Zeropoint     AB|PS|PS_r                5835.808789170032    All      0.3604336365076496        0.3541627798778535         -0.6775519448251931        -0.03227865572340312       
Zeropoint     AB|PS|PS_g                4595.370669386552    All      -0.8460479578120572       0.9670132334671955         0.17903474909522196        0.5985631765163838         
Zeropoint     AB|PS|PS_i                7068.428343900854    All      1.1802116209509133        -0.2259932633959849        0.4445454671216917         -0.438209171124178         
Check         All|All|All               All                  All      0.9962626686215789        0.9995804278854159         0.0011395259762127519      0.0011315551539342605      
Lambda        AB|PS|PS_z                8123.348911901786    All      3.510644151085999e-05     8.16877800789313e-06       0.00016771551795065898     -1.2901099490966049e-06    
Lambda        AB|PS|PS_r                5835.808789170032    All      -8.336753854392807e-05    -6.63102496846582e-05      -0.00012547651737948592    -4.3320528247459315e-08    
Lambda        AB|PS|PS_g                4595.370669386552    All      -3.184147362089894e-05    -5.1366118016564365e-05    -0.0004958954535775217     -2.848935554911593e-05     
Lambda        AB|PS|PS_i                7068.428343900854    All      -0.0009346840406137204    5.840881518772761e-05      -0.0015623275497421165     0.000253763511884944       
MWEBV         All|All|All               All                  All      -0.6285287591386917       -3.863179397526295         0.023228870812591628       -1.0525955319499278        
Redshift      All|All|All               All                  All      7.627422164996737         0.37308811029941324        9.62395784001825           -1.9335022249559686        
