#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                8123.348911901786    All      0.29503294423280213       -0.08502296400272336       0.051474767792766135       -0.12149963030876759       
Zeropoint     AB|PS|PS_r                5835.808789170032    All      0.43660746699892317       0.2821680362766976         -0.6584820398433083        -0.07969103263216898       
Zeropoint     AB|PS|PS_g                4595.370669386552    All      -0.9433645378425699       0.9782581944853597         -0.16544931675826316       0.6185525003035985         
Zeropoint     AB|PS|PS_i                7068.428343900854    All      1.1744594654598846        -0.1755655627415642        0.6537836418066579         -0.4105722049752236        
Check         All|All|All               All                  All      0.9627353388490398        0.9998377040177697         -0.11867294700214737       0.006789632387438349       
Lambda        AB|PS|PS_z                8123.348911901786    All      8.073065806900662e-06     1.4574284582684568e-05     0.00010817270805005505     6.944911980013502e-06      
Lambda        AB|PS|PS_r                5835.808789170032    All      -0.000132565233680206     -0.00012538358595133486    -0.00024317102124100907    -8.512306899396458e-06     
Lambda        AB|PS|PS_g                4595.370669386552    All      1.7930387084791127e-05    -0.00018500765962995564    -0.0008254295035869962     -0.00010293872596292028    
Lambda        AB|PS|PS_i                7068.428343900854    All      -0.0009542324322035058    6.891808459138947e-05      -0.0014664822853404388     0.0002678314148870538      
MWEBV         All|All|All               All                  All      -0.6544978191101403       -3.8554940909705238        -0.03795166226955998       -1.0443634037756722        
Redshift      All|All|All               All                  All      7.44991125245172          0.985276003005886          8.025888441599475          -1.7475858413507184        
