#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7170.601680198979     All      0.5051035794665675         -0.049455088466121566     0.19316589143562427        -0.17201789602801582      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4482.667054479882     All      -0.6387365956684162        0.45489351538270384       -0.15929176688670263       0.3491228465757791        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5217.4323403838225    All      0.5646284946952305         0.23952043801465095       0.09597215044885726        -0.10161559350784564      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4163.3392609174325    All      -0.6615785510682124        0.3801938767710844        0.010018754124487297       0.33978664402421876       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5909.139537171062     All      1.22962257198968           -0.027899391562424825     -0.13854993848925262       -0.4157991221905969       
Check         All|All|All                      All                   All      0.9990394994148495         0.9972533501398928        0.001315090633013577       -0.000523121126460524     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7170.601680198979     All      -0.0002220795574815574     6.96189840568658e-06      -0.0002513767751722293     6.338854647838716e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4482.667054479882     All      -0.0001917875891551982     8.943065695158327e-06     -0.0007289536941347466     3.2854722721138836e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5217.4323403838225    All      0.00011916951515840196     2.2494950480329573e-05    -0.0008952349816466464     -7.144031177969477e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4163.3392609174325    All      -0.0003362073891377906     0.00013010173215879557    -0.00034786883609933976    0.0001363684334693735     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5909.139537171062     All      -0.00014588342531574679    -2.348300564774642e-05    -0.00036498612910568305    2.358218891873674e-05     
MWEBV         All|All|All                      All                   All      -0.7970743770939652        -3.853523877429055        0.026162379455515625       -0.9944186496253041       
Redshift      All|All|All                      All                   All      6.001264707396016          0.04043920316290084       5.690801511052837          -1.6876826375305787       
