#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7170.601680198979     All      0.4576450978690651         -0.038148600837750735      0.212270528756342          -0.15202366002188827      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4482.667054479882     All      -0.6107063624043848        0.4159829806321014         -0.18782655543487792       0.32604465959019807       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5217.4323403838225    All      0.6478274695926441         0.25605574654594676        0.17260725957248813        -0.11991026986490766      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4163.3392609174325    All      -0.7044746671670852        0.3804284822966686         -0.06782812087628987       0.35036179052237854       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5909.139537171062     All      1.2135287385923377         -0.018084134950058228      -0.12096816141216049       -0.4065750852299224       
Check         All|All|All                      All                   All      1.0038202764825768         0.9962344736869078         0.008254950605501854       -0.002102565004141743     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7170.601680198979     All      -0.000241853502658131      7.1471036119159935e-06     -0.00026860332992296613    6.912115637478849e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4482.667054479882     All      -5.4431792396223135e-05    -6.701400352819718e-05     -0.0006100418973444409     -3.132180816552523e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5217.4323403838225    All      1.5811177103349796e-06     1.4199209847084692e-05     -0.001036190720875933      -4.213030508900753e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4163.3392609174325    All      -0.0002325298863457782     5.490068667335882e-05      -0.00040983435202316515    7.533656898761023e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5909.139537171062     All      -0.0002958937672553056     -3.9293744075210434e-05    -0.0005356287569126974     5.968041807265654e-05     
MWEBV         All|All|All                      All                   All      -0.8065891385654536        -3.8488210350825725        0.02630316308329661        -0.989781225789807        
Redshift      All|All|All                      All                   All      6.650482654040467          0.6725823033744582         5.910721008491637          -1.6834304796425585       
