#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                6002.802702213974    All      1.1900687632166271         0.12417734866083663       -0.1804043997919888       -0.35524652030204984       
Zeropoint     AB|PS|PS_g                4726.868968541306    All      -1.129862352748714         1.1459930507036198        -0.015049289571420607     0.7406493976485502         
Zeropoint     AB|PS|PS_i                7270.694139587864    All      0.6278560687244744         -0.19041710056599825      -0.11936289510536716      -0.27186510942016545       
Zeropoint     AB|PS|PS_z                8355.80166538082     All      0.3112749388007761         -0.08130240054224913      0.31759960692803135       -0.11370234305989738       
Check         All|All|All               All                  All      0.9993374179931637         0.998450898256209         0.002783022459254769      -0.00016457513356246678    
Lambda        AB|PS|PS_r                6002.802702213974    All      -0.0001364163133571647     2.3354363116341876e-05    -0.0007692099998380967    1.7716256187520306e-05     
Lambda        AB|PS|PS_g                4726.868968541306    All      -0.0002910058070338168     6.42686385011584e-07      -0.0005015507402439351    7.261760325909097e-05      
Lambda        AB|PS|PS_i                7270.694139587864    All      -0.00028839310460264714    -8.665525739524636e-06    -0.002421816569278064     -1.695807528598446e-05     
Lambda        AB|PS|PS_z                8355.80166538082     All      0.0002763978420674332      -7.459355575425821e-05    0.00014146377420312276    -0.00010801656702145395    
MWEBV         All|All|All               All                  All      -0.6961355761635151        -4.000748665817522        0.025865700476746738      -1.0752669344262842        
Redshift      All|All|All               All                  All      5.58338389364949           0.19279783948364937       8.623916611619778         -1.3710454326950918        
