#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                6002.802702213974    All      1.019814445450792          0.10114315198394841        -0.24861705224027142       -0.31033610085464525      
Zeropoint     AB|PS|PS_g                4726.868968541306    All      -1.191553947883957         1.2354140455777567         -0.14043914943296687       0.7842761661203248        
Zeropoint     AB|PS|PS_i                7270.694139587864    All      0.7527826801334375         -0.2818276049705276        0.27976827956432343        -0.3245218341379977       
Zeropoint     AB|PS|PS_z                8355.80166538082     All      0.32091335986412023        -0.08959546846628308       0.30423993903514257        -0.12013939957087583      
Check         All|All|All               All                  All      0.901956537564393          0.9651341241248944         0.1949520169262277         0.02927883155680605       
Lambda        AB|PS|PS_r                6002.802702213974    All      0.00012711675027372721     -1.0733150060034616e-05    -9.49096130033144e-05      -4.913762778997261e-05    
Lambda        AB|PS|PS_g                4726.868968541306    All      -0.0005791510618112023     0.0002791908213130134      -0.00010895486388195527    0.0002747280347792794     
Lambda        AB|PS|PS_i                7270.694139587864    All      -0.00039947983551182525    -5.7669091104555296e-05    -0.001651930046827334      3.762095374329811e-05     
Lambda        AB|PS|PS_z                8355.80166538082     All      0.0001290315564999981      3.6986486436218455e-05     0.0006704419497487381      -6.336252384446117e-08    
MWEBV         All|All|All               All                  All      -0.8006902675641099        -3.9171688809934047        0.47480839291139665        -0.9939510956353204       
Redshift      All|All|All               All                  All      4.9159019377568915         -0.6240297737917899        7.118120695577401          -1.4868889824933478       
