#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5301.026856440427    All      0.07756591711250638        0.47925463333671203       -0.5416198392674846       0.10667322418389587       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6122.154234865587    All      1.2587889419467735         -0.0007822772666976618    -0.2657522046586726       -0.4221430850982767       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4282.009753203315    All      -0.9414114088344294        0.698588348304785         0.25132260269437906       0.545417248764933         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7453.663728778158    All      0.6024124168391662         -0.18169469420472595      0.5610185876708649        -0.23037379952214454      
Check         All|All|All                                All                  All      0.9973558670640168         0.9953660101700734        0.004969146439086858      -0.0004264116715923527    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5301.026856440427    All      -0.00011558359981714926    0.00014746654272410563    -0.0009827171590689298    4.1829932165736645e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6122.154234865587    All      -0.0003725126936092489     2.246506447794067e-05     -0.0006008426965046172    0.00010184440021695668    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4282.009753203315    All      -0.0003876634770904036     0.00020502345810263358    -0.0002749035994777631    0.00018078994855523896    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7453.663728778158    All      -0.0002413563377581816     3.759550454645242e-05     -0.0006601698550596081    6.140344370080382e-05     
MWEBV         All|All|All                                All                  All      -0.8397008251832618        -3.994040337421456        0.07748209301758437       -1.0240144838745229       
Redshift      All|All|All                                All                  All      7.91939855485186           -1.8863970588684609       7.818288762361678         -2.845175913119469        
