#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5301.026856440427    All      0.10553597066063658        0.47305821046643715       -0.40240667712847233      0.10175652281407162       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6122.154234865587    All      1.2830101142662793         -0.010801174011287884     -0.22948524254780833      -0.43167777410638986      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4282.009753203315    All      -0.8855672395003176        0.6892210098126128        0.44165615161951277       0.5326694273891869        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7453.663728778158    All      0.48648308605170154        -0.1548192435604001       0.17406045702494932       -0.201125748208366        
Check         All|All|All                                All                  All      0.9894619314782997         0.996658802707362         -0.016175311031818573     0.0016224278885026144     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5301.026856440427    All      -9.160095664858529e-05     0.00012763059376371752    -0.0008838621485177667    3.19682202167325e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6122.154234865587    All      -0.00038190141254402295    2.6078611558699447e-05    -0.000511465445098824     0.00011006816225543437    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4282.009753203315    All      -0.0003754042272797405     0.00020619888585189593    -0.000243397973849036     0.00017858553443463144    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7453.663728778158    All      -0.00023697778264036693    1.9303967339368084e-05    -0.0005417342568477096    5.9304285599869316e-05    
MWEBV         All|All|All                                All                  All      -0.8351632850173982        -3.992895805031438        0.08043919998054483       -1.0249877360315          
Redshift      All|All|All                                All                  All      7.784645520988692          -1.5463398600640943       5.757144293011009         -2.7824940107199603       
