#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4322.600124646653    All      -0.9903860969814539        0.831984503912242         -0.028599178979741482      0.5923298089164402        
Zeropoint     AB|CNIa02|SDSS_i                      7394.208120709995    All      0.5926327694527366         -0.11858737240295625      0.2748192101117867         -0.2194038795017518       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5407.80017206553     All      0.1369327264011082         0.4767340348602822        -0.06246271279263242       0.10789704130507603       
Zeropoint     AB|CNIa02|SDSS_r                      6097.437028663938    All      1.2582154897960711         -0.19227783781703423      -0.18194357937577546       -0.4805927029275527       
Zeropoint     AB|CNIa02|SDSS_g                      4666.283078018058    All      -0.0011821712363150592     0.0016883516963162037     -0.0024500354596819762     0.0008256899265976652     
Check         All|All|All                           All                  All      0.9962127174321469         0.9995416802488499        -0.0006362964960446027     0.0010559577188094121     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4322.600124646653    All      -0.0009092261979634073     0.000815175928383913      -0.0004084524461905831     0.0005434671469769415     
Lambda        AB|CNIa02|SDSS_i                      7394.208120709995    All      0.00013828815776837126     -0.0001549949453734913    -0.00014548840259768795    -0.0001020244346246729    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5407.80017206553     All      -0.00013208195681854408    0.00038855470064972443    -0.0014318264206763293     0.00010569265076078547    
Lambda        AB|CNIa02|SDSS_r                      6097.437028663938    All      0.00018568595305558573     -3.638810098420055e-05    -0.00039480333421851543    -8.995508496017033e-05    
Lambda        AB|CNIa02|SDSS_g                      4666.283078018058    All      -9.276284811471274e-07     1.2994940201360315e-06    -1.7622775828694724e-06    6.468047141465933e-07     
MWEBV         All|All|All                           All                  All      -0.8563565065956631        -4.0517608757511425       0.04756454933402186        -1.038725741334436        
Redshift      All|All|All                           All                  All      6.288193844016593          -2.4277290497357384       9.996006119373908          -2.392986988729025        
