#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4322.600124646653    All      -0.968988802899055         0.8106082908732049         -0.061375533490848344      0.576934412274923         
Zeropoint     AB|CNIa02|SDSS_i                      7394.208120709995    All      0.5402489276420727         -0.07577992610414697       0.24204834843100098        -0.1898593583098282       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5407.80017206553     All      0.19641117975811678        0.49596034205157125        -0.019061488668331572      0.09672239034068178       
Zeropoint     AB|CNIa02|SDSS_r                      6097.437028663938    All      1.2284553023244182         -0.23158964617664424       -0.16284770014665106       -0.4828518187039589       
Zeropoint     AB|CNIa02|SDSS_g                      4666.283078018058    All      0.0                        0.0                        0.0                        0.0                       
Check         All|All|All                           All                  All      0.9961266068255527         0.9991990606439849         -0.001236373874829999      0.0009456256018177678     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4322.600124646653    All      -0.0008110821751023536     0.0007256005435842895      -0.00037330118467570673    0.0004838893994742904     
Lambda        AB|CNIa02|SDSS_i                      7394.208120709995    All      9.011598456994181e-05      -0.00012246171646191782    -0.0002896688324660324     -8.217014041684237e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5407.80017206553     All      -0.00018604867549204158    0.0003301184504202952      -0.0014704436747389636     0.00010251346660361523    
Lambda        AB|CNIa02|SDSS_r                      6097.437028663938    All      0.00012440071760376673     -3.8878915707084875e-05    -0.0005983075903539667     -7.98852681398518e-05     
Lambda        AB|CNIa02|SDSS_g                      4666.283078018058    All      -1.9324532469913463e-07    7.142005918051308e-07      -2.2004681715195575e-06    1.9738820097918113e-07    
MWEBV         All|All|All                           All                  All      -0.8655117770145204        -4.041726938874657         0.034664601074529955       -1.0330508506556764       
Redshift      All|All|All                           All                  All      6.598314218923109          -1.8423545841959488        11.634818271802006         -2.230195016248268        
