#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4338.239956547201     All      -0.5490477097477956        0.22543955758358436        -0.3393521790206667        0.23713225368258914        
Zeropoint     AB|CNIa02|SDSS_i                      7420.96150263542      All      0.5044700515165389         -0.077644838692148         0.12702193139857318        -0.1839455653443265        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5427.366424599651     All      0.6202714986899457         0.1143157938394701         -0.10907294305938724       -0.16967384301290284       
Zeropoint     AB|CNIa02|SDSS_g                      4683.1664076891175    All      -0.7829747128456265        0.8639059870080068         0.33443146841541           0.5513673651552262         
Zeropoint     AB|CNIa02|SDSS_r                      6119.498493384845     All      1.2054321606072944         -0.12793530889769755       -0.011690263664659355      -0.43484333408047243       
Check         All|All|All                           All                   All      0.998151288220357          0.9980811908412157         0.001338014069269873       3.6876400113572405e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4338.239956547201     All      -0.00031155179342712866    9.411248765436499e-05      -0.0003412113576426723     0.00011691150654216533     
Lambda        AB|CNIa02|SDSS_i                      7420.96150263542      All      5.191144416284336e-05      -2.9990843725990382e-05    -0.00014789975218165805    -3.327835633150518e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5427.366424599651     All      0.0001673682580241289      9.641064491762516e-06      -0.0005918887246179495     -7.779021133714185e-05     
Lambda        AB|CNIa02|SDSS_g                      4683.1664076891175    All      -0.00044676042767920643    -4.980204295714273e-05     -0.0009426747773203417     8.723515968377098e-05      
Lambda        AB|CNIa02|SDSS_r                      6119.498493384845     All      5.300533563257318e-06      -3.659409275245015e-05     -0.00032808887481043593    -2.8287557708383455e-05    
MWEBV         All|All|All                           All                   All      -0.8691680834749937        -4.070286248700494         0.012504079893285305       -1.0421515004169775        
Redshift      All|All|All                           All                   All      5.175731806068363          0.5622145600252537         3.446521078185927          -1.3489719408246374        
