#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4338.239956547201     All      -0.5185591443471982        0.20593176487713194        -0.29302386339322695       0.22291421496399288        
Zeropoint     AB|CNIa02|SDSS_i                      7420.96150263542      All      0.4945784991430953         -0.0787855944790472        0.14697260860176975        -0.18020483591000003       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5427.366424599651     All      0.5412687012391753         0.12198915077137329        -0.37579865076222685       -0.15334331127759837       
Zeropoint     AB|CNIa02|SDSS_g                      4683.1664076891175    All      -0.7718096196163617        0.8449449861180902         0.141725886789823          0.532954740138325          
Zeropoint     AB|CNIa02|SDSS_r                      6119.498493384845     All      1.252800904167013          -0.09703358496748749       0.37633462443227295        -0.4228914155007424        
Check         All|All|All                           All                   All      0.9982793405857234         0.9970467223200608         -0.003789394331588092      -0.0005706075860228976     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4338.239956547201     All      -0.0004541427326896115     0.0001263177223697225      -0.0004960571485894749     0.00016693831456109968     
Lambda        AB|CNIa02|SDSS_i                      7420.96150263542      All      0.00011171797905818042     -4.1605977451486835e-05    -0.00013260937758432625    -5.586040431228663e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5427.366424599651     All      -3.2271961463520714e-05    4.548728176504538e-05      -0.0008780704648706638     -1.3855508292740997e-05    
Lambda        AB|CNIa02|SDSS_g                      4683.1664076891175    All      -0.00033475674348825893    0.00011836005551141976     -0.00040541109425654685    0.0001295034133832351      
Lambda        AB|CNIa02|SDSS_r                      6119.498493384845     All      0.00022639990815766936     -4.343421473424542e-05     -0.0001067544810176879     -9.265781328708079e-05     
MWEBV         All|All|All                           All                   All      -0.8480354768755509        -4.078475118349534         0.010008541458583764       -1.0518138342977712        
Redshift      All|All|All                           All                   All      5.236141483554126          -0.507932983913495         3.922579351555422          -1.6959873277864912        
