#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_r          4156.473793453211     All      -0.43778165278005726       0.46406714071753896       -0.29391366544643455      0.2806458049939527        
Zeropoint     AB|DECam|DECam_z          5917.384437984519     All      1.2288871355679507         0.17358148263646456       0.5490904017208631        -0.3192443869367192       
Zeropoint     AB|DECam|DECam_g          3127.3449703945125    All      -0.3598887343066075        0.10713503307311356       0.1436550239538408        0.15853566959654633       
Zeropoint     AB|DECam|DECam_i          5049.596505497715     All      0.5565659018365758         0.2546326504536012        -0.3935343722012971       -0.11591122487770436      
Check         All|All|All               All                   All      0.9877826503178617         0.9994163068807183        0.005297388026972272      0.004025862776075473      
Lambda        AB|DECam|DECam_r          4156.473793453211     All      -0.000320778077833322      0.0002433736052190078     -0.000769036033928799     0.00014944421706973433    
Lambda        AB|DECam|DECam_z          5917.384437984519     All      -0.00024084799628804185    -3.109925543927553e-05    -6.67198927037398e-05     6.534466304506645e-05     
Lambda        AB|DECam|DECam_g          3127.3449703945125    All      -0.0009632688061045498     0.0002852293571230775     0.0003520727286102053     0.0004223883149990963     
Lambda        AB|DECam|DECam_i          5049.596505497715     All      -0.0001731898610208196     -6.858112929897372e-05    -0.0014484757762201165    -3.056431583723456e-05    
MWEBV         All|All|All               All                   All      -0.42221381832296          -2.194444288722508        0.0902642458930493        -0.5732456901342672       
Redshift      All|All|All               All                   All      4.055549175644036          -0.06324133999111581      4.510336761614593         -1.1403499606820693       
