#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                    dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5934.755743729175    All      3.1380390545579755         -0.5970032532918168       0.20585120205716678      -1.2074399652012902       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4955.950600011563    All      -2.139936652799395         1.6007083608950978        -0.1992993370308893      1.2095573304629514        
Check         All|All|All                            All                  All      0.9981024017585809         1.003705107603281         0.00655186502627747      0.002117365261661286      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5934.755743729175    All      -0.0007737221307639729     0.00019265835347473194    0.0003154891745338664    0.00032886074956021       
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4955.950600011563    All      -0.00019167561833418137    -0.0001842944890254739    -0.00172357318790286     -7.451087864299165e-05    
MWEBV         All|All|All                            All                  All      -0.4191550893225151        -2.7899600040056427       -0.019085306662181       -0.7731008474579304       
Redshift      All|All|All                            All                  All      2.9530348499219627         1.3872388845996397        1.2121520594704227       -0.4559384798615229       
