#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4129.446749172685    All      -2.73270212295757          0.5941169895770315         0.07437404289896143       1.0869734059973157        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4945.016565140738    All      3.727562203517463          0.4081194267993027         -0.06952876743566705      -1.0843544683572792       
Check         All|All|All                            All                  All      0.9948600805598935         1.0022364163763342         0.004845275463294385      0.0026189376400365116     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4129.446749172685    All      -0.00025369946501364816    -6.150417643840309e-05     -0.0013164522509395522    3.8571108132008e-06       
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4945.016565140738    All      -0.0011160920841161105     -0.00019105255688062407    -0.0010930893481489229    0.00025253624968699806    
MWEBV         All|All|All                            All                  All      -0.053752121880676906      -2.1273988055797943        0.022649049013390155      -0.6744442227961833       
Redshift      All|All|All                            All                  All      5.62966947402006           1.8849066554500027         7.365337927350857         -0.8911112451214953       
