#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  SWOPE
@BAND  SWOPE_u
@MAGSYS  Linear_AB11_off
53751.34  15.251  0.021
53752.37  15.102  0.024
53754.26  14.993  0.018
53760.3  15.269  0.017
53761.3  15.389  0.015
53762.31  15.5  0.018
53763.3  15.611  0.018
53764.35  15.769  0.018
53765.33  15.883  0.018
53772.32  16.921  0.017
53773.23  17.049  0.016
53774.33  17.206  0.018
53778.39  17.649  0.022
53781.24  17.898  0.034
53783.24  18.002  0.04
53785.34  18.058  0.027
53786.4  18.13  0.038
53790.32  18.323  0.026
53795.35  18.52  0.03
53798.32  18.506  0.051
53799.32  18.609  0.03
53802.32  18.717  0.03
53804.36  18.68  0.035
53805.32  18.687  0.03
53809.26  18.679  0.058
53815.25  18.945  0.036
53818.32  19.045  0.029
53819.31  19.06  0.024
53824.28  19.183  0.029
53831.24  19.369  0.03
53835.26  19.528  0.049
53840.19  19.622  0.071
