#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V             5399.514868860512     All      0.22251838017887043        0.09517310243341015        0.13364820677457256        -0.035516440852555         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B             4380.689439052691     All      -0.22442806150385025       0.16296894485927638        0.02512215999337375        0.12730903657401266        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7581.052209740351     All      0.13358807555328053        -0.0204709458819341        0.055677509156137894       -0.04769746015662012       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              6200.493068129596     All      0.4140990754944036         -0.037310172955073995      0.048755378017428797       -0.14486311454758627       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6244.263212692063     All      0.33627743621929446        -0.03164940477304867       -0.03480278062202302       -0.12139896480050823       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5418.889121625215     All      0.19558274965563055        0.0703287666334873         -0.13497240811530808       -0.046822541672293314      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4381.753946888793     All      -0.21978828594081162       0.14826663553337838        -0.07364655383201857       0.11660108912026172        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5356.458650733813     All      0.27181641693357234        0.10617289497769633        0.06626784520515905        -0.050998315036732654      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3583.4129696782975    All      -0.1735821628603021        0.0767603396790495         -0.05850100201478803       0.07893415806622985        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4384.859450339889     All      -0.3032938459866404        0.20604294673547408        -0.06265527291384743       0.16311173300746495        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4790.0481838685155    All      -0.18198448088395103       0.2265155900089244         -0.0677922891365812        0.13003665383751264        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3009      5377.977238955651     All      0.027856103952654504       0.04113171165540663        -0.07795204354517082       0.000845660500672224       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I             7920.996400137013     All      0.087940117634997          -0.013275207515128784      0.04386316024462822        -0.031011749901176458      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7607.5285420270075    All      0.10826419042337293        -0.015994919153161646      0.03937128301276793        -0.03871832045725908       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R             6406.046546718913     All      0.3002692449073821         -0.016586529432194297      0.1072786448153451         -0.09842299674263001       
Check         All|All|All                                All                   All      0.9951349537779031         0.9980737528055617         0.009661837039676158       0.001388426938792875       
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V             5399.514868860512     All      3.713070858081222e-05      1.1796957092988401e-06     -0.0001691536200459554     -1.9258976813618657e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B             4380.689439052691     All      -0.00011456392266754306    3.0256495992701313e-05     -0.00022934799686392948    3.6938027065109456e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7581.052209740351     All      -3.438334537740219e-05     3.833486513926616e-06      -2.879657637575466e-05     1.1163420497671146e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              6200.493068129596     All      -3.3527615680258857e-05    4.045190461790646e-06      -6.485141403823525e-06     1.1949296993395988e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6244.263212692063     All      -5.3139782953285736e-05    1.0650148104944127e-05     2.8404096329968973e-05     2.2046023535972513e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5418.889121625215     All      3.3875872232974226e-05     -8.653371959644149e-07     -0.00032130338868972315    -2.5654649406980687e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4381.753946888793     All      -0.00012981608139019294    4.765404520360281e-05      -0.0002127154269936065     4.831534628523507e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5356.458650733813     All      2.0020984569819934e-05     5.956397154874538e-08      -0.0006610069069160055     -3.599979376083516e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3583.4129696782975    All      -0.0001860215131023142     7.396983618520533e-05      0.00017967756650302932     9.270592048808942e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4384.859450339889     All      -0.00016018921670485638    4.119284532079035e-05      -0.00034717211634096256    5.0104065826363146e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4790.0481838685155    All      -0.00010843068154672557    3.6310517962083933e-06     -0.0004936343414484086     1.4473559792997388e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3009      5377.977238955651     All      4.043340903148888e-06      3.7551005540723247e-06     -6.652064147353309e-06     -3.9074043559086854e-07    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I             7920.996400137013     All      8.660565559542491e-06      -1.2635585298366903e-06    5.783741903651201e-06      -2.9745118725012927e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7607.5285420270075    All      -2.3490105418700554e-05    3.241159146769541e-06      -1.3711617676556138e-05    8.09536577973352e-06       
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R             6406.046546718913     All      -6.610462158486453e-05     -3.4080116946588955e-07    -5.3050551564233355e-05    1.9054037410781325e-05     
MWEBV         All|All|All                                All                   All      -1.007518563553881         -4.031609909778666         0.009936230874085794       -0.9846026327671124        
Redshift      All|All|All                                All                   All      5.446861277201009          -0.022918806087668386      5.719777650641089          -1.526439916987247         
