#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|g           3239.3328355931303    All      -0.35176431893869603       0.10756223097025952        0.2645486317473529         0.1614233591069521        
Zeropoint     AB|MEGACAMPSF|z           5812.233730276818     All      0.9884012593610079         0.09980021020012941        0.6032461793009031         -0.26252648944516443      
Zeropoint     AB|MEGACAMPSF|r           4126.6372843349545    All      -0.887519729728331         0.41834756191079236        -0.6536589300834607        0.39619414274191833       
Zeropoint     AB|MEGACAMPSF|i           5040.544124142735     All      1.23907455253392           0.37469768159645866        -0.20543683151881792       -0.29072368627216266      
Check         All|All|All               All                   All      0.9881917632279008         1.00040768467764           0.00869904944597738        0.0043673261315433365     
Lambda        AB|MEGACAMPSF|g           3239.3328355931303    All      -0.0007489235269921822     0.00021048641962367242     0.0003671667081957529      0.0003288963471135742     
Lambda        AB|MEGACAMPSF|z           5812.233730276818     All      -0.00014125608689128077    -1.5156792544929163e-05    -0.00010601154548610465    3.634388033053918e-05     
Lambda        AB|MEGACAMPSF|r           4126.6372843349545    All      -0.0005110407520211733     0.00019926848843407314     -0.0006596230921560593     0.00020193513903252978    
Lambda        AB|MEGACAMPSF|i           5040.544124142735     All      0.0001327263130663226      -1.1130786926164793e-05    -0.000854748935489401      -8.500250949659132e-05    
MWEBV         All|All|All               All                   All      -0.358667242926735         -2.2825850856746044        0.18983529228265777        -0.6182118591873438       
Redshift      All|All|All               All                   All      5.384440969684224          0.3804879571394082         1.4687459485019458         -1.5644087353746088       
