#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|g           3239.3328355931303    All      -0.33627454305623206       0.10353007668655323        0.27032173017452754        0.15532205106732755       
Zeropoint     AB|MEGACAMPSF|z           5812.233730276818     All      1.0041122170451973         0.08636744401258056        0.6745251324177026         -0.26883870680501354      
Zeropoint     AB|MEGACAMPSF|r           4126.6372843349545    All      -1.0209402538850525        0.40507987452009786        -0.7492744304681831        0.4310649939514688        
Zeropoint     AB|MEGACAMPSF|i           5040.544124142735     All      1.3453157559200783         0.40452961610242255        -0.1845280818242867        -0.3146796374682681       
Check         All|All|All               All                   All      0.9922131760239912         0.9995070113216542         0.011044350299760364       0.0028687007455147073     
Lambda        AB|MEGACAMPSF|g           3239.3328355931303    All      -0.0004486156714240928     0.00015583865191131656     0.0005225467680291204      0.00022020952135355014    
Lambda        AB|MEGACAMPSF|z           5812.233730276818     All      -0.0002334466742773505     -2.7417812397203988e-05    -0.00023215038196494769    5.67505731436315e-05      
Lambda        AB|MEGACAMPSF|r           4126.6372843349545    All      -0.00028334590010284047    0.00010800290735533373     -0.0004181188484249095     0.0001088164577276748     
Lambda        AB|MEGACAMPSF|i           5040.544124142735     All      -8.598387232664463e-05     -6.137463308629618e-05     -0.0009019571785074455     -3.223416749679857e-05    
MWEBV         All|All|All               All                   All      -0.339849962378699         -2.29218000870155          0.1362338173698352         -0.629858636268138        
Redshift      All|All|All               All                   All      5.700107045446351          0.8803582267692178         -0.20142179521740466       -1.5789392848931327       
