#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3647.6534312498966    All      -1.197886897074491         0.40950097014693654        -0.16881562226019886       0.5160456439647493        
Zeropoint     AB|SDSS|SDSS_i            5780.084099471189     All      1.1214475395225718         0.09773632725664783        -1.7023121389958873        -0.4094227932600523       
Zeropoint     AB|SDSS|SDSS_z            6872.038174248503     All      0.18369638755340933        0.02958909256562947        0.45018451861957853        -0.03010814851364743      
Zeropoint     AB|SDSS|SDSS_r            4766.392592899208     All      0.8916054273413202         0.4628288607165132         1.445656020796282          -0.07515364552954928      
Check         All|All|All               All                   All      0.9988624573428103         0.999655250685727          0.024712778159774462       0.0013610566615002428     
Lambda        AB|SDSS|SDSS_g            3647.6534312498966    All      -0.0024201946949752276     0.0004909391166473589      -0.0041877900673449615     0.0007613702190216048     
Lambda        AB|SDSS|SDSS_i            5780.084099471189     All      -0.00011470163801360352    3.4372049780935513e-05     0.0011690534399671994      0.00010072769025082911    
Lambda        AB|SDSS|SDSS_z            6872.038174248503     All      -0.0001575733276466709     -3.0159693416975105e-05    -0.00048207550029449067    1.9989996967215178e-05    
Lambda        AB|SDSS|SDSS_r            4766.392592899208     All      9.830800307366108e-05      -2.4163456140359695e-05    -0.0005843048850454932     -6.596782686164605e-05    
MWEBV         All|All|All               All                   All      -0.5369973909084678        -2.8644662698113166        0.23009525673004516        -0.7478650907918022       
Redshift      All|All|All               All                   All      6.132971269117023          -0.8955131794024851        2.513054596806652          -2.1772625305397386       
