#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            4167.10078747685     All      -0.8371454642029964        0.6700262406457824        -0.1054511715411377       0.48622960727936254       
Zeropoint     AB|SDSS|SDSS_z            7850.656929781128    All      0.2777299866775872         -0.024381622695557326     0.6694832693414976        -0.06853172686428644      
Zeropoint     AB|SDSS|SDSS_i            6603.202156279274    All      1.1711600641088245         -0.061220826261276784     1.6377391957481224        -0.3283422216783741       
Zeropoint     AB|SDSS|SDSS_u            3169.024098954765    All      -0.03206076452904322       0.05426990041481616       0.5235841906582994        0.05148589546060144       
Zeropoint     AB|SDSS|SDSS_r            5445.155002153872    All      0.422948187184479          0.35970687494906173       -2.673473533142312        -0.13990462093677983      
Check         All|All|All               All                  All      1.002632009238851          0.9984005670528262        0.05188195106446969       0.0009369332605236036     
Lambda        AB|SDSS|SDSS_g            4167.10078747685     All      -0.0008102183718903649     0.00044473191118891075    -0.000870380468013638     0.00036993751106234764    
Lambda        AB|SDSS|SDSS_z            7850.656929781128    All      1.9584473740310412e-05     2.001019189682806e-06     0.00011480011778665433    -6.0450762666318e-07      
Lambda        AB|SDSS|SDSS_i            6603.202156279274    All      -0.0003236814377206304     -1.174895286421426e-05    -0.0006768898814188004    7.140018602672328e-05     
Lambda        AB|SDSS|SDSS_u            3169.024098954765    All      -4.940853657547991e-05     3.1935120101701335e-05    0.00012370212228832406    3.2016562681003794e-05    
Lambda        AB|SDSS|SDSS_r            5445.155002153872    All      -1.3464348165092709e-05    8.167253671819766e-05     -0.0026979750227846635    -8.940902059876501e-05    
MWEBV         All|All|All               All                  All      -0.6356260558948255        -3.4561901016212815       0.7136158801822501        -0.8869051042806149       
Redshift      All|All|All               All                  All      3.3423457430743455         -0.7335287922909828       4.5483455636138315        -1.1246746557492617       
