#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            4167.10078747685     All      -0.8192329195123788        0.6364047267725326        -0.11420164404823137      0.46905277558641817       
Zeropoint     AB|SDSS|SDSS_z            7850.656929781128    All      0.17517353355211146        -0.015390897519651503     0.35804715630487854       -0.04609510444885818      
Zeropoint     AB|SDSS|SDSS_i            6603.202156279274    All      1.1307601451224367         -0.05831515125986897      1.1543778077572147        -0.3358063637523021       
Zeropoint     AB|SDSS|SDSS_u            3169.024098954765    All      -0.040220983921270284      0.04087792291045389       0.25650226887453365       0.0378631002174382        
Zeropoint     AB|SDSS|SDSS_r            5445.155002153872    All      0.5488110583699533         0.3960645451734024        -1.6430155015811936       -0.12307480029745098      
Check         All|All|All               All                  All      0.9952908336108525         0.9996411460768684        0.0117100873072018        0.0019396073052451307     
Lambda        AB|SDSS|SDSS_g            4167.10078747685     All      -0.0007527510970219382     0.0003809160828284683     -0.0007423180536850904    0.0003361464516272147     
Lambda        AB|SDSS|SDSS_z            7850.656929781128    All      2.063150119540978e-05      -6.336879142459136e-07    6.14219066519804e-05      -4.18579410369198e-06     
Lambda        AB|SDSS|SDSS_i            6603.202156279274    All      -0.00045609552176590967    1.114392149272662e-06     -0.0010431833642901862    0.00010237582834118138    
Lambda        AB|SDSS|SDSS_u            3169.024098954765    All      -2.6896922326940437e-05    2.859453950837359e-05     0.000187897949704239      2.646041724586149e-05     
Lambda        AB|SDSS|SDSS_r            5445.155002153872    All      -8.869382628931004e-05     0.0001034664781685299     -0.002941397318680378     -6.86681199353003e-05     
MWEBV         All|All|All               All                  All      -0.6776843956248415        -3.4466452808764814       0.48579524721023176       -0.8802628457276345       
Redshift      All|All|All               All                  All      4.455164455371261          -0.6015198940207966       9.380490017797987         -1.228520266108708        
