#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_r          4677.461824301451    All      0.023952696348168434      0.5080866719252342         0.5852316575540653        0.18381456438500737       
Zeropoint     AB|DECam|DECam_z          6659.091620397979    All      0.8732508344198183        0.06750966918271928        0.9039023577566505        -0.22211939486138044      
Zeropoint     AB|DECam|DECam_i          5682.531890323453    All      0.6982272636886184        0.12705092839322418        -1.3785635631465418       -0.2475698838587852       
Zeropoint     AB|DECam|DECam_g          3519.33813067265     All      -0.6013919434780234       0.2966175193909848         -0.10657358475316611      0.2877553360774672        
Check         All|All|All               All                  All      0.994038850978582         0.9992647888921624         0.003996867411007826      0.0018806217423089633     
Lambda        AB|DECam|DECam_r          4677.461824301451    All      -0.0001062784551224603    -0.00011082237439648544    -0.0009928549581368603    -4.578666076181596e-05    
Lambda        AB|DECam|DECam_z          6659.091620397979    All      -0.0004927492986225617    -4.3878482389699125e-05    -0.0006515155213815168    0.00011713784684156181    
Lambda        AB|DECam|DECam_i          5682.531890323453    All      -0.0002265973796861581    -4.810538706082159e-05     0.0001289587576074266     6.38955512760762e-05      
Lambda        AB|DECam|DECam_g          3519.33813067265     All      -0.0012665405935858055    0.0005302671584782219      -0.0008607780769547357    0.0005468668259026804     
MWEBV         All|All|All               All                  All      -0.46380949697159224      -2.62243728121625          0.03008147726739263       -0.7017936879019625       
Redshift      All|All|All               All                  All      5.606851837457343         -0.013541008055106829      1.7312883396302352        -1.7534874081378202       
