#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4151.556225273326    All      -0.6340367464558149        0.4493774946325857         0.4078041542053823         0.37110208801776484        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4469.980260929467    All      -0.7515973835363802        0.48943139894923604        -0.36079074137846945       0.3881434693539954         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7150.307524500302    All      0.17369261721043855        -0.02207362151356307       0.02225448461410373        -0.06277438903318222       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5892.41555734888     All      1.8601870203668152         -0.0609663678761585        -1.0097279894381694        -0.6708423852755709        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5202.66602243934     All      0.35577653383932994        0.1386482072414097         0.9243159756368247         -0.02947786251976392       
Check         All|All|All                      All                  All      1.0040220414243883         0.9944171114335099         -0.016144116360328198      -0.003849079456756832      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4151.556225273326    All      -0.0003472713386364314     0.00013224788896198516     -0.00024713775578122686    0.0001451665651649474      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4469.980260929467    All      -0.00011654084905150692    -8.900514297861591e-06     -0.0006098089502813136     7.84902559123953e-06       
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7150.307524500302    All      -8.35597440279717e-05      1.2454384815769081e-06     -0.00017667635086016602    1.973958385723318e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5892.41555734888     All      -0.0003769892173254479     -4.4324295619130586e-05    -0.0009434338077916554     6.625879154360277e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5202.66602243934     All      0.00015945270730240973     3.82961649524808e-05       0.00032270489469914907     -2.5063834454770524e-05    
MWEBV         All|All|All                      All                  All      -0.8356481542238603        -3.8361353472605053        0.056788008399255574       -0.974823203871644         
Redshift      All|All|All                      All                  All      7.211706790450943          0.9691752667267295         19.62968030995844          -1.157415414091175         
