#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                   dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_i          4701.86980002931      All      0.21633308498797363      0.3574424061593362        0.07847499271036164       0.049465926766345966       
Zeropoint     AB|DECam|DECam_r          3870.2495501914636    All      -1.3280867526435831      0.4704931640112875        -0.1305587615919853       0.5800304124810322         
Zeropoint     AB|DECam|DECam_z          5509.899880877801     All      2.10655759685213         0.17151840394387108       0.053619369329704014      -0.6279131398404201        
Check         All|All|All               All                   All      0.9948039291965206       0.9994539741144948        0.0015356004480803626     0.001583199406958058       
Lambda        AB|DECam|DECam_i          4701.86980002931      All      -8.14943640004311e-05    -6.253046625021778e-05    -0.0005596347460802929    -1.8796763017194398e-05    
Lambda        AB|DECam|DECam_r          3870.2495501914636    All      -0.00153481436093584     0.0004376247097709937     -0.0010383926963118497    0.0005961495997759317      
Lambda        AB|DECam|DECam_z          5509.899880877801     All      7.433989884681589e-05    -8.747479579539254e-06    -0.0002157244306529954    -3.669108320059137e-05     
MWEBV         All|All|All               All                   All      -0.09762676804259329     -2.0138504034065363       0.018858003833470062      -0.6233355338236996        
Redshift      All|All|All               All                   All      1.018289512929256        0.07937434231770624       -0.8392736068739918       -0.3432884868903213        
