#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5109.722824590113     All      -0.25606920788516396       1.0275963324593462        -0.6048984810400282       0.391138256821507         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4224.9801615218485    All      -0.9555398776127291        0.39288159590427085       -0.16736676159807562      0.43175642579090023       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7484.051735548729     All      0.7284640709819321         -0.39494701260629483      1.138895290937203         -0.31510828297388604      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6040.286105657381     All      1.4817354116797825         -0.03318662897786595      -0.36285343796564895      -0.5096524305077988       
Check         All|All|All                       All                   All      0.9985903971638213         0.9923442867794563        0.0037766103334502255     -0.0018660308692776129    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5109.722824590113     All      -0.00024208416726306158    0.00033867899639190944    -0.0007638265753589814    0.00015508759701328683    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4224.9801615218485    All      -0.0005256069000561493     0.0001603349183416775     -0.000163265416975149     0.00021614803135903304    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7484.051735548729     All      -0.00020335876203583753    9.468035126254852e-05     -0.0007091113628850167    6.54367611019996e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6040.286105657381     All      -0.0003974795371288104     7.363979943428639e-05     -0.0007564676124558835    0.00011970139207056702    
MWEBV         All|All|All                       All                   All      -0.7529964943761267        -3.8917396958105144       0.10345127900421858       -1.017775366843912        
Redshift      All|All|All                       All                   All      8.687515058273885          -1.9283199629294145       13.646685617052151        -2.848937814875295        
