#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5109.722824590113     All      -0.1665904829503959        0.925291147634244         -0.0245103657446405       0.354567983868933          
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4224.9801615218485    All      -0.9031189214074364        0.3905686385460072        0.14983089780452627       0.42808286415396213        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7484.051735548729     All      0.5887154923591638         -0.32511167157682763      0.7062534545408784        -0.266146723343287         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6040.286105657381     All      1.4782233755624767         0.006443902261565881      -0.8421080222179557       -0.5169864079298928        
Check         All|All|All                       All                   All      0.9972294635638085         0.9971920168649895        -0.010534035617191462     -0.00048228325028476515    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5109.722824590113     All      -0.00016206762348031184    0.00034853683463524166    -0.0008620452996327897    0.00012785154790418936     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4224.9801615218485    All      -0.0005266902691477682     0.00015691481013904805    -1.415883767197083e-05    0.00022204082036669586     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7484.051735548729     All      -0.00018868861469709662    0.0001289278658892958     -0.0006220889948700836    7.569716230918273e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6040.286105657381     All      -0.00042286341265962326    7.0255578622753e-05       -0.0008113032304321403    0.0001244203416003821      
MWEBV         All|All|All                       All                   All      -0.7416631201238384        -3.8861380334738627       0.09625973355114167       -1.019963299626553         
Redshift      All|All|All                       All                   All      8.717182533369005          -1.444246954685191        15.346210636006294        -2.6250809872707928        
