#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5338.268526735849    All      0.4354006294112039         0.5553366598507026        -0.7862507982671136       0.0039803488849850435      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7784.786566292425    All      0.4661887454108207         -0.11301316614531487      0.4408191876900159        -0.16899338203342132       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4347.917521402555    All      -1.0639043243514998        0.7172846775366892        0.22060167312451917       0.5900362967772795         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6489.009164903309    All      1.158902080225968          -0.1627714398955149       0.11633441078372124       -0.42532107682218667       
Check         All|All|All                                      All                  All      0.9965871306964929         0.996836731346562         -0.008495526668857348     -0.0002978131933434325     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5338.268526735849    All      -8.150498739360928e-05     8.991998359007689e-05     -0.0017554403542406585    -2.2498487800418267e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7784.786566292425    All      -2.183600575524942e-05     6.910425237696993e-06     1.7727913789756495e-06    9.442769840998722e-06      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4347.917521402555    All      -0.000397945909805843      0.0001641091680882674     -0.000531693085576122     0.00015935280950168785     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6489.009164903309    All      -0.00041152372228081134    3.4568577597094074e-05    -0.0008495296902739808    0.00010739632974279154     
MWEBV         All|All|All                                      All                  All      -0.8194983958098465        -4.046197852096256        0.07300543211866957       -1.0477842710378344        
Redshift      All|All|All                                      All                  All      4.469468462420276          -0.468925436619827        5.052823730815774         -1.3831130449245415        
