#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5338.268526735849    All      0.4071144325659677         0.5202400382122718        -0.7395376034917134       0.003846564810403713       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7784.786566292425    All      0.5071172626808268         -0.11235486685761131      0.5734957915774386        -0.1761899694111821        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4347.917521402555    All      -1.0970501063578753        0.725279511172694         0.016500652314832553      0.5943290576214011         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6489.009164903309    All      1.1762084243481665         -0.13428680752820554      0.14641682488307772       -0.4203375006082706        
Check         All|All|All                                      All                  All      0.9933900132370858         0.9988778749991489        -0.0031243347163645296    0.0016481524123521663      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5338.268526735849    All      -0.00010315609973529965    6.325878378460499e-05     -0.001793361865914809     -2.5822701013167495e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7784.786566292425    All      -1.878910186308921e-05     1.1372121666930605e-05    2.526034900026902e-05     1.0951756137803477e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4347.917521402555    All      -0.0003431998325814425     0.00011672930876714832    -0.0006101275547145692    0.00012258686200413514     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6489.009164903309    All      -0.0004462625602305577     3.296158161116994e-05     -0.0008677076969767262    0.00011737725972505412     
MWEBV         All|All|All                                      All                  All      -0.8236121027333776        -4.041977645510109        0.08096567350316386       -1.0447144122171979        
Redshift      All|All|All                                      All                  All      4.562901177664853          -0.10707879377704899      6.577559209731132         -1.2276398565826505        
