#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7789.969437563236     All      0.30699603910720563        -0.058598949285659785      0.16710843072371695        -0.11162903367547758       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4308.225268867212     All      -0.8897051333895478        0.5900489036898549         -0.1683883159268873        0.47449017517831243        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6243.3709634855995    All      0.35448116894189835        -0.06410606454947398       -0.40855156680644766       -0.15457941307617448       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5277.428568319685     All      0.08585842812724896        0.11189555846513599        -0.029975055010972307      0.007143500912502876       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6300.07947152768      All      0.9109084707548457         -0.07901675828705379       0.21107760444833978        -0.31303179062947134       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4333.669874881326     All      -0.2301938109491981        0.17310227187214977        0.05974027873277277        0.13403273648460515        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    8063.043888609527     All      0.11485512599478537        -0.02826708837355696       0.003098253200567447       -0.04648135299018391       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5310.1975662258965    All      0.3445217050789498         0.35190643868148186        0.16667652024909274        0.009843458266012295       
Check         All|All|All                       All                   All      0.9977219936661877         0.996964312212878          0.0007861496101824184      -0.00021171952987453224    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7789.969437563236     All      -2.007056818597649e-05     7.009895393564381e-06      3.609143195581727e-05      1.0431592754882032e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4308.225268867212     All      -0.00040183609805396743    0.00016640144171364807     -0.0005361808614711709     0.00016116637190425573     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6243.3709634855995    All      -9.153878666833622e-05     2.554678579193807e-06      -0.00012172169934778847    2.52174568198316e-05       
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5277.428568319685     All      -1.8952050390259213e-05    3.849891079863908e-05      -0.0003966130318561921     1.0146501057328901e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6300.07947152768      All      -0.0002870145659071441     -4.3953175309289217e-07    -0.0005084329890218722     7.065788751076701e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4333.669874881326     All      -0.00010419132814635643    4.995755563156019e-05      -0.0001392109903095474     4.3999015669546786e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    8063.043888609527     All      -7.408885571140518e-06     1.0218128941208435e-06     -1.1917666636515293e-05    2.2143251257520413e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5310.1975662258965    All      1.8046703295382513e-05     5.147190366165623e-05      -0.0007828753269171243     -2.4048442808264598e-05    
MWEBV         All|All|All                       All                   All      -0.8223479768137105        -4.012033557628403         0.03626929001651069        -1.0373669993753845        
Redshift      All|All|All                       All                   All      4.055823545528651          -0.49292677033356824       -0.08310718238715986       -1.48538631916914          
