#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7789.969437563236     All      0.3004122212637961         -0.05578953512461737      0.1636766624967935         -0.10872249303789992       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4308.225268867212     All      -0.8603284459308583        0.5632392851437906        -0.16568534251652395       0.45630906812699845        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6243.3709634855995    All      0.363935484199282          -0.06754730732136949      -0.43228846726918996       -0.15983918942557998       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5277.428568319685     All      0.09385459189749122        0.12294780305737163       -0.021035557653876855      0.008537895687719633       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6300.07947152768      All      0.9000068874283077         -0.07517679982989023      0.23462889288419012        -0.3071789996524638        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4333.669874881326     All      -0.24717556887537429       0.17958841090237598       0.02868932467903526        0.14029134112663783        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    8063.043888609527     All      0.09826332836518176        -0.023236522892311484     0.012301175026617721       -0.03902755383675786       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5310.1975662258965    All      0.3482294335107289         0.35320490594754617       0.1817546324092496         0.00973154953644447        
Check         All|All|All                       All                   All      0.9971979318585551         0.9972302398828958        0.002041320056295398       0.00010161852509877993     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7789.969437563236     All      -2.8884516705975922e-05    8.170282352241278e-06     2.318531259862297e-05      1.3104621134927865e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4308.225268867212     All      -0.00036744013225836834    0.0001421616387197395     -0.0005232103404099017     0.00014264558773353464     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6243.3709634855995    All      -8.794270271009283e-05     1.8540568653444155e-06    -9.266251903486591e-05     2.511465617839108e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5277.428568319685     All      -2.2921121581056224e-05    3.752240123131665e-05     -0.0004140606142925086     1.210820408566513e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6300.07947152768      All      -0.0002780103681722828     4.281563524951372e-06     -0.00042081106069779536    7.317290435883915e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4333.669874881326     All      -0.00010170425143879443    4.61205405595023e-05      -0.0001395480899055678     4.192400771375699e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    8063.043888609527     All      -6.257065902755484e-06     5.974599722685651e-07     -9.76479366560277e-06      1.7969866914776775e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5310.1975662258965    All      -1.8104545751651216e-05    4.563162234054702e-05     -0.0007302662225492051     -1.1827460715649144e-05    
MWEBV         All|All|All                       All                   All      -0.8229142127032558        -4.011717021021788        0.034928215801137176       -1.0371392973139337        
Redshift      All|All|All                       All                   All      4.3082961111906615         -0.3585513243866245       0.024797648053250226       -1.5190391393465768        
