#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_g          3183.8558524050463    All      -0.37157582874273765       0.028800158528419217      -0.8148156903760695       0.09405414908457178        
Zeropoint     AB|DECam|DECam_i          5140.842324243124     All      1.2092909248784507         0.36313748347964747       3.4900710141213653        -0.1198741734410997        
Zeropoint     AB|DECam|DECam_z          6024.311117628602     All      0.6142873144106071         -0.11309903802629862      -4.240241375468301        -0.4261561631518121        
Zeropoint     AB|DECam|DECam_r          4231.580953790588     All      -0.43826393660251195       0.7237168889107082        1.7145668057561458        0.45500862472371734        
Check         All|All|All               All                   All      1.0137384739438082         1.0025554928924763        0.14958075403314064       0.003032437215377326       
Lambda        AB|DECam|DECam_g          3183.8558524050463    All      -0.0012859243694044173     6.022848212390759e-05     -0.0033733572602254167    0.0002879488296017729      
Lambda        AB|DECam|DECam_i          5140.842324243124     All      0.00020712277673369658     5.810748655797069e-05     0.0007927912811177392     -1.3160548750031148e-05    
Lambda        AB|DECam|DECam_z          6024.311117628602     All      -0.00020755166963576773    1.0160300350179157e-05    0.0006417051343761        9.955230403761324e-05      
Lambda        AB|DECam|DECam_r          4231.580953790588     All      -0.00039079725413673766    0.00024260124149846516    -0.0007232336903873339    0.0001740441303101427      
MWEBV         All|All|All               All                   All      -0.4451630418378565        -2.318144438295988        -0.5919528699276144       -0.6365077979277574        
Redshift      All|All|All               All                   All      4.030316048261557          -0.5736210470159264       -6.389893421633963        -1.784805372651901         
