#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_g          3183.8558524050463    All      -0.4416526969307061        0.033664581244252645      -0.823952686390707        0.11805725085974979        
Zeropoint     AB|DECam|DECam_i          5140.842324243124     All      1.0859688886187477         0.31867817813271415       2.467801875715624         -0.1398051640107469        
Zeropoint     AB|DECam|DECam_z          6024.311117628602     All      0.8168869179137607         -0.04478239577920817      -2.553145063403679        -0.39460918155676644       
Zeropoint     AB|DECam|DECam_r          4231.580953790588     All      -0.4775380800629345        0.692141139749225         0.9151729361857458        0.4218429681008491         
Check         All|All|All               All                   All      0.9836650295388677         0.9997015033469836        0.005877062106984021      0.0054858733930855386      
Lambda        AB|DECam|DECam_g          3183.8558524050463    All      -0.0012299513396444748     9.032431693458339e-05     -0.0023600954449735207    0.00032473699694387164     
Lambda        AB|DECam|DECam_i          5140.842324243124     All      0.00013693039672346257     3.798473999752349e-05     0.00026703364240514586    -2.0313370591672343e-05    
Lambda        AB|DECam|DECam_z          6024.311117628602     All      -0.00020632246334353628    -7.939457494185201e-06    6.178286739660724e-05     6.737695722563071e-05      
Lambda        AB|DECam|DECam_r          4231.580953790588     All      -0.00031667389094795545    0.0002769886493212605     -0.0003960465383393448    0.00017570168225300513     
MWEBV         All|All|All               All                   All      -0.43586394878180723       -2.3106793352532407       -0.3859014797082676       -0.6279100616258848        
Redshift      All|All|All               All                   All      4.486787569677942          -0.3589969198589671       -2.1119449445277048       -1.6726778328785683        
