#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|CNIa02|SDSS_i                      7448.253415078275    All      0.44209543631773246        -0.10053294731489082       0.13194750726781898        -0.17086370525632966      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5447.326534782524    All      0.5873972214785345         0.43125320530661426        0.056738367584975684       -0.04832927029732201      
Zeropoint     AB|CNIa02|SDSS_r                      6142.004042971152    All      1.115226781387043          -0.12989123741542485       -0.07440017963356853       -0.4088960401994354       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4354.194609459512    All      -1.1470534297083197        0.797561326455476          -0.11311227060636889       0.6283773208764571        
Check         All|All|All                           All                  All      0.9976660094749898         0.9983903470317745         0.0011734246128572573      0.00028830512337008063    
Lambda        AB|CNIa02|SDSS_i                      7448.253415078275    All      -1.977003735205431e-05     -1.7292703112363917e-05    -0.00023088081325977675    -9.49620103482053e-06     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5447.326534782524    All      -1.9886469730249454e-05    -4.5311950955678e-05       -0.0008918333165493598     -4.808034058393839e-05    
Lambda        AB|CNIa02|SDSS_r                      6142.004042971152    All      -7.556875312460579e-05     -3.965656374033779e-05     -0.00047468805470204397    -9.485366159580468e-06    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4354.194609459512    All      -0.00041386846846971307    0.00013649736736482323     -0.0007205572971222484     0.0001471170964588887     
MWEBV         All|All|All                           All                  All      -0.9044703655314854        -4.075249558693894         0.022277809381595497       -1.0318329424355475       
Redshift      All|All|All                           All                  All      5.04955608283081           -0.4695859654034962        1.0579301543598973         -1.7505555755983715       
