#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|CNIa02|SDSS_i                      7448.253415078275    All      0.5355538753126977        -0.11871875694824396       0.34942671525266533        -0.19752481181476433      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5447.326534782524    All      0.48591144188180585       0.5204049679874423         -0.1066552245651664        0.006476143433292725      
Zeropoint     AB|CNIa02|SDSS_r                      6142.004042971152    All      0.9366453948206835        -0.11149779500323476       0.035529550301660606       -0.33982919916371035      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4354.194609459512    All      -1.0273754774546986       0.7489749002582258         -0.18308453161632876       0.5704455364434813        
Check         All|All|All                           All                  All      0.9307352345604882        1.0391633162941893         0.09521650937283077        0.039567668898299324      
Lambda        AB|CNIa02|SDSS_i                      7448.253415078275    All      7.652722234983683e-05     -2.607058859457281e-05     -4.8722164186774553e-05    -3.55937288071654e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5447.326534782524    All      1.8833097871455434e-05    0.00018307054234363476     -0.0006891809627221764     2.2742557843401026e-05    
Lambda        AB|CNIa02|SDSS_r                      6142.004042971152    All      0.0004642727112722449     -0.00011047125668601643    4.704692809108909e-05      -0.0001851135305569323    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4354.194609459512    All      -0.0006732540653173642    0.00038959359838332795     -0.0004469771920681528     0.00032625791152682585    
MWEBV         All|All|All                           All                  All      -0.8823401962817363       -4.079148669627131         0.0934865611707636         -1.037133815786645        
Redshift      All|All|All                           All                  All      4.075567047150539         -2.378716215931931         2.1077519815781542         -2.0083131080150696       
