#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4923.649209612352    All      3.879007228916586         0.4082038242948727         -0.03757749423591583       -1.1322317659061998      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4111.603460750333    All      -2.885005666074801        0.5941245830181074         0.043772452951262864       1.1352205456505642       
Check         All|All|All                            All                  All      0.994001562841784         1.0023284073129801         0.006194958715347032       0.0029887797443644004    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4923.649209612352    All      -0.0009759709220688449    -0.00012660301736060225    -0.00040708169039515045    0.0002585008837537808    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4111.603460750333    All      -0.0008716420104362265    9.723232205029494e-05      -0.001484201723262468      0.0002493611388923659    
MWEBV         All|All|All                            All                  All      -0.04703028984993507      -2.1148044108244335        0.01945866921218009        -0.6726737079128436      
Redshift      All|All|All                            All                  All      6.037587401411574         0.739472386314155          1.0760050427034122         -1.677753200080473       
