#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           3449.7326232506075    All      -1.7356837544520003        -0.019704235767115108      -0.15062416247728205      0.5522293187053738        
Zeropoint     AB|MEGACAMPSF|i           4217.464772862136     All      1.754674085194593          0.8043336530716871         0.15483497684476605       -0.30264757012872084      
Zeropoint     AB|MEGACAMPSF|z           4861.382150396932     All      0.9812997197412453         0.2147170763171502         -0.0022254692882723807    -0.24980049925621772      
Check         All|All|All               All                   All      1.000290050483838          0.9993464936217222         0.001985345079211614      -0.0002187506795647276    
Lambda        AB|MEGACAMPSF|r           3449.7326232506075    All      -0.0025755029674098882     -9.830027455754833e-05     -0.0011730799072243608    0.000754557246111597      
Lambda        AB|MEGACAMPSF|i           4217.464772862136     All      3.394363778813078e-05      -2.159995106947194e-05     -0.0016332004065302572    -9.097460734600911e-05    
Lambda        AB|MEGACAMPSF|z           4861.382150396932     All      -0.00018376952737345732    -4.4859775430143285e-05    -0.0001565620115489697    3.8260832690913735e-05    
MWEBV         All|All|All               All                   All      -0.3940731753566864        -1.7720363675280737        -0.006665226804950333     -0.44914538379272495      
Redshift      All|All|All               All                   All      2.027409589320771          -0.12451336222021325       -0.26819216542481356      -0.7129202860599947       
