#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6116.147693277032     All      1.2521166462497468        -0.10102078204257126      -0.013920839936363784      -0.44138260044416944       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4291.8521180047255    All      -1.0313121216043317       0.7161271249908729        -0.055787644478473335      0.566708905309985          
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7451.442477518162     All      0.5328316026888512        -0.11468816322031117      0.1434598341991777         -0.20451653701103423       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5307.708062976317     All      0.24353361004548926       0.49803212872960856       -0.07301556979391075       0.07964019075646696        
Check         All|All|All                                All                   All      0.9971697373797558        0.9984503084575991        0.0007357799904298412      0.00044995861124826064     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6116.147693277032     All      -0.0002839456987358579    -7.739950717622397e-06    -0.0004118647214948753     7.158966813467021e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4291.8521180047255    All      -0.0005081834966789543    0.00024402514084696398    -0.0005086799447287174     0.00022231905052054856     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7451.442477518162     All      -0.0001771403594465413    9.13611289457994e-06      -0.00028384195207994397    4.800981267301919e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5307.708062976317     All      2.8298237520102984e-06    4.174522394055865e-05     -0.0009617405647951809     -3.0242038172114473e-05    
MWEBV         All|All|All                                All                   All      -0.8439109859225744       -3.9844864631934485       0.018055863347885823       -1.0221830045577245        
Redshift      All|All|All                                All                   All      7.603800384754972         -0.2747799293111086       3.259840271121135          -2.420841106489409         
