#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4371.788075482879    All      -1.0928797038407854        0.7618643793932289         -0.017135300649963516      0.6033864974087848         
Zeropoint     AB|CNIa02|SDSS_i                      7478.348669228588    All      0.5218273876090799         -0.1319520566253285        0.25148971407534854        -0.20173464280328524       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5469.336886386854    All      0.5101249332501572         0.5831807839023817         -0.12177902820209223       0.018362255305712637       
Zeropoint     AB|CNIa02|SDSS_r                      6166.821293723022    All      1.0581107541862855         -0.21435508130731584       -0.1116428238002973        -0.4194660919720658        
Check         All|All|All                           All                  All      0.9971833712047373         0.9987380253629663         0.0009325614229954843      0.0005480179391463835      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4371.788075482879    All      -0.0005978364158517987     0.0002847146217796248      -0.0006953216437857519     0.0002564468965579073      
Lambda        AB|CNIa02|SDSS_i                      7478.348669228588    All      -2.9449185776892837e-05    -1.3103831062810015e-05    -0.00015443697911056675    -1.5675932977409848e-06    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5469.336886386854    All      9.925018195763868e-05      -4.2561291946748746e-05    -0.0009817401974361632     -9.0003218551512e-05       
Lambda        AB|CNIa02|SDSS_r                      6166.821293723022    All      7.27838182776812e-05       -5.842664425435823e-05     -0.0002930348182172071     -5.581636241947779e-05     
MWEBV         All|All|All                           All                  All      -0.8927052773754123        -4.103067142886241         0.05114127092233158        -1.0434382773271886        
Redshift      All|All|All                           All                  All      4.869593234368248          -0.6838304414983565        -0.6394924952786966        -1.837470406423383         
