#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4371.788075482879    All      -1.0879183230908198        0.757390853178963         0.00196456657821642        0.6011655771631917        
Zeropoint     AB|CNIa02|SDSS_i                      7478.348669228588    All      0.5680169847150155         -0.14465821463729434      0.3179336240288766         -0.2179538413225908       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5469.336886386854    All      0.4836375139749647         0.5657372498819147        -0.426945212244334         0.007689981051946644      
Zeropoint     AB|CNIa02|SDSS_r                      6166.821293723022    All      1.0364381534769302         -0.18226729496668703      0.11428361440040113        -0.39187250595138845      
Check         All|All|All                           All                  All      1.0001743290760907         0.9962025934568963        0.007236592763160132       -0.0009707890588408485    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4371.788075482879    All      -0.000423072942271256      0.00013001331460936217    -0.0009586955566588736     0.00013737621029913762    
Lambda        AB|CNIa02|SDSS_i                      7478.348669228588    All      -2.2157794405262904e-05    2.624075695096339e-06     -3.6863651228710805e-05    6.427214945285298e-06     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5469.336886386854    All      0.00012894122211219193     1.8476446196767584e-05    -0.0008727143604355402     -7.492724537299458e-05    
Lambda        AB|CNIa02|SDSS_r                      6166.821293723022    All      0.00020680869068773688     -4.284683820828838e-05    1.2329432906393586e-05     -8.077081322079783e-05    
MWEBV         All|All|All                           All                  All      -0.884400322394979         -4.104492301639429        0.07339649849624763        -1.0456145468894018       
Redshift      All|All|All                           All                  All      5.22686020580611           -0.7727135622094483       4.217227190556239          -1.766063075866239        
