#Format:      
#Parameter    MagSys|Instrument|Band              RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                    dc/dP                     
Zeropoint     Linear_AB11_off|Knop|Bessell12_I    5197.175154124934    All      3.4657733601257497        0.15504712229805762        -0.06069965877821826     -1.0811212023062893       
Zeropoint     Linear_AB11_off|Knop|Bessell12_R    4276.81248245237     All      -2.469517395507844        0.8469068889674247         0.05984966743726727      1.082939312349894         
Check         All|All|All                         All                  All      0.9962559646179054        1.0019540112654823         -0.000849991340950984    0.0018181100436047704     
Lambda        Linear_AB11_off|Knop|Bessell12_I    5197.175154124934    All      0.0013709274946685896     -4.5622762535253335e-05    -0.003309700708180701    -0.0006091137635910746    
Lambda        Linear_AB11_off|Knop|Bessell12_R    4276.81248245237     All      -0.0010721621913847104    0.0001143837583779212      -0.001341211899693396    0.00032664492492007695    
MWEBV         All|All|All                         All                  All      -0.08738115249558476      -2.307646489677495         0.01398704350678015      -0.7225892873685608       
Redshift      All|All|All                         All                  All      2.880546587682665         0.13900655300318476        6.839694009731622        -0.587785653207247        
