#Format:      
#Parameter    MagSys|Instrument|Band              RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|Knop|Bessell12_I    5197.175154124934    All      3.527777949494748         0.1673068974325176        0.4614711572235788        -1.074022639583909        
Zeropoint     Linear_AB11_off|Knop|Bessell12_R    4276.81248245237     All      -2.53115202522418         0.8346219573144964        -0.46150098327018935      1.0757486475018438        
Check         All|All|All                         All                  All      0.9966259242705683        1.001928854747014         -2.982604661055932e-05    0.0017260079179348686     
Lambda        Linear_AB11_off|Knop|Bessell12_I    5197.175154124934    All      0.0014294068364194283     -3.565147043294208e-05    -0.003487073758326951     -0.0006328297758121051    
Lambda        Linear_AB11_off|Knop|Bessell12_R    4276.81248245237     All      -0.0012040073091478755    0.0001416043917271073     -0.0011519304569192164    0.0003869046346179316     
MWEBV         All|All|All                         All                  All      -0.08741992060623627      -2.307726239240182        0.01669193107047114       -0.7224819296668702       
Redshift      All|All|All                         All                  All      2.7223674367366213        0.01779070536045424       6.739727787531054         -0.5802065226333591       
