#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_i          6372.4416215297415    All      0.9659350696533153        -0.015697252750257462      -0.2913754557290815        -0.3327526905011261       
Zeropoint     AB|DECam|DECam_g          3946.61696880658      All      -0.7730762800243838       0.5811820075264151         -0.03414762918185765       0.439602626173578         
Zeropoint     AB|DECam|DECam_z          7467.564357300704     All      0.43979515189976265       -0.027223198539694238      0.21292037961059274        -0.1426215825514025       
Zeropoint     AB|DECam|DECam_r          5245.347142363045     All      0.3629560860970898        0.46089350512108496        0.11321325977835528        0.03695362723571006       
Check         All|All|All               All                   All      0.9956100276257841        0.9991550613575484         0.0006105544780088401      0.0011819803567594336     
Lambda        AB|DECam|DECam_i          6372.4416215297415    All      -0.0002130022783952306    -1.6397281754935503e-05    -0.00018591933448810423    5.574398951642502e-05     
Lambda        AB|DECam|DECam_g          3946.61696880658      All      -0.0007506436579593791    0.00045897490233652875     -0.0006334087851413496     0.0003657464354174407     
Lambda        AB|DECam|DECam_z          7467.564357300704     All      -6.193708728618147e-05    -1.4921976180797571e-05    -0.000258482273528875      3.7794917367843712e-06    
Lambda        AB|DECam|DECam_r          5245.347142363045     All      1.5787693918001957e-05    5.557230657716245e-05      -0.0004839287521940373     -8.636360388085546e-06    
MWEBV         All|All|All               All                   All      -0.49531736490587575      -3.1387168543806965        0.05407395798310288        -0.8586291065899465       
Redshift      All|All|All               All                   All      5.282697707361009         0.534460326290187          -2.5832184639523303        -1.661934303137554        
