#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                    dc/dP                    
Zeropoint     AB|SDSS|SDSS_g            3659.4440362669015    All      -1.3319316381637565       0.3306436666399293         -1.710209427735876       0.46523668182536504      
Zeropoint     AB|SDSS|SDSS_i            5798.767532496399     All      0.3750600824114323        0.19837753710341133        -5.054708882219927       -0.28311975966519576     
Zeropoint     AB|SDSS|SDSS_z            6894.251218689674     All      0.08699247296549212       -0.008777984002250605      0.3143069216954508       -0.017169514233050798    
Zeropoint     AB|SDSS|SDSS_r            4781.799388933444     All      1.8436395960921308        0.48298011237903893        6.284143696649425        -0.16277908705932265     
Check         All|All|All               All                   All      0.9737605133052987        1.003223332120129          -0.16646769161092756     0.0021683208677958365    
Lambda        AB|SDSS|SDSS_g            3659.4440362669015    All      -0.0027818248740458587    0.00042907543156989756     -0.008214698234193952    0.000679311611573676     
Lambda        AB|SDSS|SDSS_i            5798.767532496399     All      2.2039164312007018e-05    -3.1159895862076136e-05    0.0020402343258323443    7.371760340877787e-05    
Lambda        AB|SDSS|SDSS_z            6894.251218689674     All      -0.0002801677143387164    1.6823995621963398e-05     -0.001513938044584126    2.917986900737932e-05    
Lambda        AB|SDSS|SDSS_r            4781.799388933444     All      -0.0005582260394574541    -7.555522735944216e-05     -0.00302686756496203     2.214656537401099e-05    
MWEBV         All|All|All               All                   All      -0.5345935058136262       -2.879801957341499         0.39871403258833205      -0.7461187716818474      
Redshift      All|All|All               All                   All      8.030316609300042         -0.5662183827226386        19.052752264170714       -1.9499374370785971      
