#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3659.4440362669015    All      -1.2442484625128618       0.35887016010907047       -1.2557089401769175       0.46615195368654544        
Zeropoint     AB|SDSS|SDSS_i            5798.767532496399     All      0.8421975997261095        0.14860680236949975       -2.7280326650465483       -0.34766490959869284       
Zeropoint     AB|SDSS|SDSS_z            6894.251218689674     All      0.19553520291755416       -0.017854174173592696     0.5392784040748763        -0.04544242206283022       
Zeropoint     AB|SDSS|SDSS_r            4781.799388933444     All      1.2013870748466722        0.5094885114612424        3.440787425344729         -0.0718275850531602        
Check         All|All|All               All                   All      0.9948714149774741        0.9991112997662199        -0.0036757758038605814    0.0012170369718621787      
Lambda        AB|SDSS|SDSS_g            3659.4440362669015    All      -0.0023211602079108674    0.0005602735434665486     -0.002926780690740443     0.0008079689891680701      
Lambda        AB|SDSS|SDSS_i            5798.767532496399     All      -0.0001700818583567746    8.798368877970048e-06     0.0007657706156426815     9.244000051393877e-05      
Lambda        AB|SDSS|SDSS_z            6894.251218689674     All      -0.0001289286372251096    1.0719048216316956e-05    -0.0004353288302603455    2.6061119119139808e-05     
Lambda        AB|SDSS|SDSS_r            4781.799388933444     All      -6.53186212077962e-05     -3.053450422242493e-05    -0.0006688474770823125    -1.8517259731239597e-05    
MWEBV         All|All|All               All                   All      -0.5629155388942424       -2.887116160960801        -0.030196157377544885     -0.7584161223541636        
Redshift      All|All|All               All                   All      6.59758324607505          -1.4954958550056574       5.208064575695802         -2.403770115377975         
