#Format:      
#Parameter    MagSys|Instrument|Band         RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     VEGAHST|ACSWF|F775W            3964.492301702206     All      -2.101865394182558         0.4127675871984593        -1.6970402248172256        0.7433675799938296         
Zeropoint     VEGAHST|NICMOS2|F110W_faint    5951.255162522544     All      1.0854724484786622         0.05044590120295567       -1.0799399108127883        -0.3853349560446445        
Zeropoint     VEGAHST|ACSWF|F850LP           4656.5624230453805    All      2.0495595392092425         0.5306029673503687        2.8069524218018227         -0.36951273292248343       
Check         All|All|All                    All                   All      1.0331665935053473         0.9938164557517837        0.029972286171808804       -0.01148010897329832       
Lambda        VEGAHST|ACSWF|F775W            3964.492301702206     All      -0.002386319211337469      0.00044853314878344155    -0.0011223215952692559     0.0008733206194035904      
Lambda        VEGAHST|NICMOS2|F110W_faint    5951.255162522544     All      0.0004200101028894403      1.527365733676765e-05     -2.6865087198143652e-05    -0.00013303484120482683    
Lambda        VEGAHST|ACSWF|F850LP           4656.5624230453805    All      -0.00027100682470240713    4.425418307279869e-05     -0.003530427985890223      -5.4855904329561806e-05    
MWEBV         All|All|All                    All                   All      0.013605420395820023       -1.574637458297623        0.06365413188711422        -0.5145023656758659        
Redshift      All|All|All                    All                   All      2.0699737776937095         0.1337630429825154        2.0656921263638495         -0.5385051835177026        
