#Format:      
#Parameter    MagSys|Instrument|Band         RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     VEGAHST|ACSWF|F775W            3964.492301702206     All      -2.2418741713521086       0.6586667328214446        -3.3373038944110456       0.7958730523254853         
Zeropoint     VEGAHST|NICMOS2|F110W_faint    5951.255162522544     All      1.2473924425211866        0.2232271280487197        -2.6178002743308655       -0.45042474008332106       
Zeropoint     VEGAHST|ACSWF|F850LP           4656.5624230453805    All      2.029930365772483         0.09515729700417808       6.112694595397573         -0.35743775543936085       
Check         All|All|All                    All                   All      1.0354486369415614        0.9770511578743424        0.1575904266556618        -0.011989443197196581      
Lambda        VEGAHST|ACSWF|F775W            3964.492301702206     All      -0.0027347423858518393    0.0007185761206716768     -0.004391951566047724     0.0009288668214902208      
Lambda        VEGAHST|NICMOS2|F110W_faint    5951.255162522544     All      0.0004019944997446961     6.5861354427238e-05       -0.0007728701343105661    -0.00014397926831205397    
Lambda        VEGAHST|ACSWF|F850LP           4656.5624230453805    All      8.775071486782267e-05     1.9954664070423124e-05    -0.0017628671218754258    -0.00010075206726199769    
MWEBV         All|All|All                    All                   All      0.015455892011157157      -1.585750257960683        0.1796967989212878        -0.5135464783451543        
Redshift      All|All|All                    All                   All      2.3128927600368256        0.2200846850271887        3.9351658143256003        -0.5060880646407263        
