#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4285.155467171732     All      -0.44191205225858166       0.23152058080144755       -0.10624097301075396       0.21461811718487162        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V           5247.226605676785     All      0.11085852684371038        0.13364112347060697       -0.05097240509106565       0.005146376915120718       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R           6204.0331251779635    All      0.011599115862138992       -0.00212699284096729      -0.027203123807591763      -0.005684995656269171      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B           4306.364560842838     All      -0.0012219846684298253     0.0009251063373127977     -0.002671765037328963      0.0005801495751233079      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I           7685.449237294583     All      0.0891334787557424         -0.020285656286400666     0.06270069374333975        -0.032843368077949686      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I           8012.240769811599     All      0.002808001440138308       -0.000856899939361        -0.0014628206621474047     -0.00125905791863632       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6059.504773407596     All      0.8849529400731314         -0.06956792246048948      0.004164789693142476       -0.3107329922950034        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4681.130922344417     All      -0.2979617742342369        0.3474820155804359        0.08640521695127687        0.214098144800325          
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5234.6622125122185    All      0.3835105939699506         0.20505217465940362       -0.10812074264201117       -0.06295471044055455       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B           4338.6753201769625    All      -0.14484055369226229       0.14683756266045123       -0.016647753427693854      0.09426624564596725        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7408.672430986375     All      0.31883096368376745        -0.06723711683571665      0.13468197748489336        -0.11974483700457776       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R           6202.831552227627     All      0.2837535406858941         0.017399031968956535      0.04014198957278639        -0.08496907366301819       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V           5244.176878981533     All      0.00022879792529188888     0.000595163568828383      -0.005278913920460744      -0.00011623633992398303    
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3501.932468316808     All      -0.20519896882486705       0.07386189001801213       -0.010143288793741758      0.09044665416225947        
Check         All|All|All                              All                   All      0.9945406255613879         0.99724006070252          -0.0006471189473564211     0.0008504168877342955      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4285.155467171732     All      -0.00032600034112679295    0.00011157125115428315    -0.0004977224678987689     0.00012032039549802761     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V           5247.226605676785     All      4.07054621513117e-05       3.381521861743076e-05     -3.329720574714414e-05     -3.730280365224655e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R           6204.0331251779635    All      -9.413241346879812e-07     1.776198183395066e-07     2.060819198191661e-06      4.564417534787445e-07      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B           4306.364560842838     All      -1.209296512108807e-06     9.28918774083644e-07      -2.663381397426962e-06     5.77632584607478e-07       
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I           7685.449237294583     All      -1.8715371473045086e-05    4.696978004686007e-06     -1.2271668401286538e-05    7.07854426930125e-06       
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I           8012.240769811599     All      1.2163240990185312e-07     -3.337352807547793e-08    -6.433971153502254e-08     -5.336171936730591e-08     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6059.504773407596     All      -0.00014562409234301077    4.4259831113992824e-05    -0.000733659906255613      2.911156882735655e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4681.130922344417     All      -0.00016557201549284445    -3.130449377039689e-05    -0.0007613841536395563     9.758271229260053e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5234.6622125122185    All      0.00011605581298150742     0.00010891921749210865    -0.0011510327809011013     -5.36899304471823e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B           4338.6753201769625    All      -3.446742718315752e-05     2.297389592635316e-05     5.641581383702604e-06      1.8962286566474898e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7408.672430986375     All      -5.8361508212106464e-05    2.561788999238459e-05     -0.00038771385911089655    1.0052964008566198e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R           6202.831552227627     All      -7.891252760779424e-05     -2.687084280948951e-06    -3.1545814640186645e-05    2.342138981144616e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V           5244.176878981533     All      3.973511125044885e-07      7.813788606061241e-07     -6.84717735019981e-06      -1.8046760549698318e-07    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3501.932468316808     All      -0.0005444988922517412     0.0001878595736325852     -0.0001324443134609157     0.00023264286480136187     
MWEBV         All|All|All                              All                   All      -0.9625145279629379        -3.9354628504762346       0.02075293279148358        -0.9674609676615191        
Redshift      All|All|All                              All                   All      7.425871297966798          -1.1747554354765377       14.191099052110765         -2.1682235059622674        
