#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4285.155467171732     All      -0.4185260451925114        0.2424408321620497         -0.17090028543556013       0.2076721622963809         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V           5247.226605676785     All      0.12945828403995807        0.13017014763354595        -0.031421077658499996      -0.0011703009920607799     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R           6204.0331251779635    All      0.015927318885977558       -0.004703400074301811      -0.07203640877369022       -0.009934757968167729      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B           4306.364560842838     All      -0.002317662505363874      0.0012386844201905944      -0.005245638574291611      0.0009243304367675953      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I           7685.449237294583     All      0.07124155739608834        -0.01538199129322848       0.07869591462585923        -0.024704302405724465      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I           8012.240769811599     All      0.003089338113759463       -0.0010311535699081276     -0.0036591480819359035     -0.0015054706745579183     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6059.504773407596     All      0.828829760767937          -0.07440157994000884       -0.02057948158691314       -0.29513053084213453       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4681.130922344417     All      -0.28804205552047085       0.3605852404713339         0.15150702451174336        0.21804031216609565        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5234.6622125122185    All      0.37714528166942246        0.20251362813299423        -0.1233126161368725        -0.062386150471394064      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B           4338.6753201769625    All      -0.14448301308756056       0.14768675456711122        -0.04704623955753551       0.0930698478290845         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7408.672430986375     All      0.2828060793975477         -0.058463895705873625      0.19820047265410867        -0.10231808154716887       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R           6202.831552227627     All      0.29244127119453184        0.008105260917368184       0.055730754226801515       -0.09013058532511137       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V           5244.176878981533     All      -0.00023517578276212054    0.0005416121791945727      -0.011788316602623361      -0.0002730330334210773     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3501.932468316808     All      -0.15542419064127688       0.058065170852916737       0.0026778614752531738      0.06966000928869814        
Check         All|All|All                              All                   All      0.9919107487352767         0.9973653107533842         0.0008228150858435868      0.001813448757286007       
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4285.155467171732     All      -0.0003096285712063254     0.0001050602633555437      -0.0004959244827837547     0.00011294696430635007     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V           5247.226605676785     All      4.542347602514133e-05      4.572109849368462e-05      -8.626265740371043e-05     -3.752560780379491e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R           6204.0331251779635    All      -1.8247674488079592e-07    -6.517120923575422e-08     2.5187612040523253e-06     1.506110164821532e-07      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B           4306.364560842838     All      -2.469809012725982e-06     1.3407100477561347e-06     -5.860221245239884e-06     9.796966612000823e-07      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I           7685.449237294583     All      -1.683183774567482e-05     1.0466229820011033e-06     -1.0184376120515871e-05    5.3691209117802115e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I           8012.240769811599     All      4.87779899308623e-07       -1.9165864951107353e-07    1.3621404288179905e-06     -1.605294169614436e-07     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6059.504773407596     All      -0.00021057028950293506    4.991320803710149e-05      -0.0011419020753160724     3.389019974649337e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4681.130922344417     All      -0.00020192739638263653    -3.4873796891722575e-05    -0.0008525747462441464     1.6368358063669663e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5234.6622125122185    All      -1.862583687941381e-05     0.0001073913195039633      -0.0016142347602305209     -3.0987949761630053e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B           4338.6753201769625    All      -1.9739988811094177e-05    2.8445748356231093e-05     7.502394880908836e-06      1.6030477285345205e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7408.672430986375     All      -0.00010090453261351264    3.6685737620847586e-05     -0.0006123549424837301     1.7491088962244034e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R           6202.831552227627     All      -7.624914457755896e-05     -1.4501860657017507e-05    -1.3330883127271879e-05    1.9518225710783453e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V           5244.176878981533     All      6.397258262365787e-08      6.98773093175535e-07       -1.7649568867525328e-05    -5.808437864166426e-07     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3501.932468316808     All      -0.0005813283466482495     0.00021363885261939072     -8.184379619894085e-05     0.00025529465771608644     
MWEBV         All|All|All                              All                   All      -0.9610430290600291        -3.9316871537656617        0.0577604291613687         -0.9650589400360017        
Redshift      All|All|All                              All                   All      7.944559974236085          -1.1457131224538841        18.18022827334964          -2.149700919622498         
