#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4320.1526678017535    All      -1.9724033173259876       0.9624245728211633         0.0033368373683284602      0.9561189045168117         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5413.948475440213     All      2.512061942389743         0.10207390404017858        -0.671565484486436         -0.8149812735258           
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7440.68451717505      All      0.4694485597843398        -0.04593280323481608       0.7690960383003098         -0.13355544161954835       
Check         All|All|All                      All                   All      1.009107184848095         1.0185656736265258         0.10086739118220223        0.007582189371463377       
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4320.1526678017535    All      -0.0011302244908008097    0.000381570483955571       -0.0013057532724627182     0.00043417158841335126     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5413.948475440213     All      0.0006673798812481105     -0.00012468718879822264    -0.0025959514235347285     -0.00037384769220540423    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7440.68451717505      All      -8.753943350423489e-05    2.9821811593742444e-09     -0.00024850342797102897    1.7425878193277945e-05     
MWEBV         All|All|All                      All                   All      -0.8764987861816231       -4.032525699854972         0.08424446119293938        -1.0242623526025785        
Redshift      All|All|All                      All                   All      -0.44651785232466124      -0.8780177153301594        3.420787570478634          0.012100336856701865       
