#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4320.1526678017535    All      -1.5297727076155245        0.8575821844500453        0.14398136877941703       0.7840652571949023         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5413.948475440213     All      1.9551629778043704         0.21379243085162258       -0.5495671947928734       -0.5917463363646162        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7440.68451717505      All      0.5839818947287099         -0.07418857755805419      0.4140778246035346        -0.19590938446777845       
Check         All|All|All                      All                   All      1.009372164917556          0.9971860377436137        0.008491998590078209      -0.003590463637492325      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4320.1526678017535    All      -0.00040657548323693533    8.262445009955954e-05     -0.0012037791169235092    0.0001056293792566691      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5413.948475440213     All      8.937011327294004e-05      -9.77246474769456e-05     -0.0020435623019587133    -0.00015213771860528644    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7440.68451717505      All      -0.0001231768189512862     1.4866661491581405e-05    -9.903697886426802e-05    4.0545737569531884e-05     
MWEBV         All|All|All                      All                   All      -0.8325513233998749        -4.0351745200901235       0.08226385603073885       -1.0395286802651587        
Redshift      All|All|All                      All                   All      1.6984571665382684         0.08381117462032961       2.805676433387794         -0.40073886662664854       
