#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_g                      4664.586155848864    All      -0.4726890199526962        0.4649455898984023         0.0476875543511275         0.3075465162205873         
Zeropoint     AB|CNIa02|SDSS_i                      7391.519172038454    All      0.4763591944407667         -0.07330548490065425       0.11339519809928163        -0.1739835626064558        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5405.833592703515    All      0.737291638598907          0.20974692328863398        -0.01783198840927369       -0.17263442922551908       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4321.028184869868    All      -0.8212626062355809        0.48652471621570825        -0.14824912141388596       0.4193736784422107         
Zeropoint     AB|CNIa02|SDSS_r                      6095.219658672403    All      1.0801369304097952         -0.09108703430227294       0.005763363104772209       -0.38124898500544446       
Check         All|All|All                           All                  All      0.9998361372611918         0.9968247101998173         0.0007650057320216751      -0.0009467821746213523     
Lambda        AB|CNIa02|SDSS_g                      4664.586155848864    All      8.625157263117303e-06      -4.6864519775348695e-05    -0.00010537263068395295    -2.2777109916015494e-05    
Lambda        AB|CNIa02|SDSS_i                      7391.519172038454    All      -6.435024667191681e-05     -2.963393493002652e-05     -0.00034916102550670825    -4.273208062712949e-06     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5405.833592703515    All      3.897077810714083e-05      -4.444276663786243e-05     -0.0010714420484500343     -7.498407341454658e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4321.028184869868    All      -0.0003830172364437994     8.508526505377478e-05      -0.0007527068398189492     0.00011888653564898311     
Lambda        AB|CNIa02|SDSS_r                      6095.219658672403    All      -5.2651693541526287e-05    -2.2168409864286477e-05    -0.0002660165262561105     -1.9416874331750267e-06    
MWEBV         All|All|All                           All                  All      -0.8759671316686681        -4.0415479260820675        0.013171391464387163       -1.0305460305481362        
Redshift      All|All|All                           All                  All      3.9018983505077784         0.20018596387272325        2.5495910268137805         -1.0919929693685888        
