#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_g                      4664.586155848864    All      -0.37180799386746793       0.3783249567290703         0.054135878544658844       0.24675881627268942        
Zeropoint     AB|CNIa02|SDSS_i                      7391.519172038454    All      0.48110636351396313        -0.07384467951370155       0.15449601009445146        -0.1738713647051221        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5405.833592703515    All      0.7104685211538302         0.2402348545989419         -0.11971328768149991       -0.1585128296310273        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4321.028184869868    All      -0.8344540793133239        0.5469319920949012         -0.0030100183713521744     0.4498285664141205         
Zeropoint     AB|CNIa02|SDSS_r                      6095.219658672403    All      1.0127801242765324         -0.0947182751398934        -0.08790896265036263       -0.3646716375568487        
Check         All|All|All                           All                  All      0.998092935763534          0.9969288487693184         -0.0020003800641044123     -0.00046844920618821506    
Lambda        AB|CNIa02|SDSS_g                      4664.586155848864    All      3.378427875379042e-05      -2.0412987993284482e-05    -9.449689520423431e-05     -2.1870795241060265e-05    
Lambda        AB|CNIa02|SDSS_i                      7391.519172038454    All      -9.789232217988346e-05     -3.586163545526561e-05     -0.00045811919599126857    -2.3832023654265342e-07    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5405.833592703515    All      -1.0728137844149286e-08    -1.3251491783401942e-05    -0.0011518089238089489     -5.5712894530092446e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4321.028184869868    All      -0.00044548620288218396    0.00013564940923757626     -0.0007171599928746928     0.0001572914309758721      
Lambda        AB|CNIa02|SDSS_r                      6095.219658672403    All      -2.1992714948374702e-05    -3.9371101839734724e-05    -0.0003986148905899374     -2.3449064137518388e-05    
MWEBV         All|All|All                           All                  All      -0.8652447509534738        -4.042624470262801         0.026964446744992543       -1.0337738078518774        
Redshift      All|All|All                           All                  All      3.9635778621186617         -0.20908314069290057       2.93184289100904           -1.2283382823268156        
