#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7117.080004065913     All      0.10655898651815611       0.009204338799406742       0.10718744558703419        -0.026928328232353645     
Zeropoint     AB|SDSS|SDSS_r            4936.351713174306     All      0.5738621112939359        0.3791417670827357         -0.2811210593464473        -0.07597196395493924      
Zeropoint     AB|SDSS|SDSS_g            3777.7207633381636    All      -0.9777343288807419       0.4712954753548715         -0.15642466362682378       0.46501616459893763       
Zeropoint     AB|SDSS|SDSS_i            5986.189238633607     All      1.2947483098058248        0.13863295949558818        0.3300280039551108         -0.36185717060859496      
Check         All|All|All               All                   All      0.9974350787371749        0.9982745407326021         -0.00033027343112612684    0.00025870180304982116    
Lambda        AB|SDSS|SDSS_z            7117.080004065913     All      -3.653002419552875e-05    -4.38039263806946e-06      -5.173184924903955e-05     8.16363785353123e-06      
Lambda        AB|SDSS|SDSS_r            4936.351713174306     All      -0.0003224380348968996    -9.56333031355788e-05      -0.0017651998705665902     -4.895000164919248e-06    
Lambda        AB|SDSS|SDSS_g            3777.7207633381636    All      -0.0014444575277105906    0.0006585633737606695      -0.0006197468375060587     0.0006573666399781531     
Lambda        AB|SDSS|SDSS_i            5986.189238633607     All      -0.0001931124990853886    -4.6489732767874355e-05    -0.0004345865344801517     2.83662576852552e-05      
MWEBV         All|All|All               All                   All      -0.553603656018161        -3.0309401994834673        0.05060648870365905        -0.8046916789944317       
Redshift      All|All|All               All                   All      5.239930042957142         0.3554123807031573         9.07606401540299           -1.186025046300904        
