#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6116.803465929455    All      3.1069100752029213        -0.7624689655784778       0.8035707208912699         -1.2245243817652427        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5107.973624551794    All      -2.1092793830541066       1.7657437489409844        -0.804587467915743         1.2263174752086756         
Check         All|All|All                            All                  All      0.9976306921488147        1.0032747833625066        -0.0010167470244730747     0.0017930934434329249      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6116.803465929455    All      -0.000841280284788828     0.00020163420430564224    -0.00037818453004987714    0.0003228349213282205      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5107.973624551794    All      -0.0003825557560043369    -8.543772115798159e-05    -0.0031651261074307642     -4.4463922433765294e-05    
MWEBV         All|All|All                            All                  All      -0.48687247128797173      -2.8973717769385843       -0.018276945757534673      -0.7859945430682069        
Redshift      All|All|All                            All                  All      7.388654880437434         -0.7700584096175689       6.696106554577779          -2.3587448508396895        
