#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6301.229948102021    All      1.2843879179561568         -0.1404022173431052       0.12284929076966601       -0.45861882164945206       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4283.490464517677    All      -1.0752363755305998        0.7009473273664746        -0.052054145184562015     0.5762385293181724         
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8142.343856511953    All      0.3552511909260549         -0.09224372270937309      0.14488539765480202       -0.13929824565365476       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5287.159070388858    All      0.4340556268101899         0.5293898783400586        -0.2147645409571449       0.021469547041934805       
Check         All|All|All                       All                  All      0.9984583601618019         0.9976912656540549        0.0009160022827611192     -0.0002089909429995769     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6301.229948102021    All      -0.00034594559446503867    2.535146357848644e-05     -0.0005279759126973191    9.738252703713107e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4283.490464517677    All      -0.0006680081589819336     0.00022857611242174477    -0.0012333782605997775    0.00023700698687345565     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8142.343856511953    All      -1.3433488378697602e-05    1.2841770574617626e-06    -7.835009657246799e-05    1.2976228683163675e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5287.159070388858    All      4.699058733854547e-05      0.00011396720651299343    -0.0017025341841273261    -5.4159792850487216e-05    
MWEBV         All|All|All                       All                  All      -0.8526604384843486        -4.061061666054133        0.03686686582162214       -1.0434366341863917        
Redshift      All|All|All                       All                  All      5.511174942217492          -0.9439345336633487       5.723724319076768         -1.8472179948427765        
