#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6301.229948102021    All      1.253104777040546          -0.17930046097482943      0.08912364381908344        -0.46260433186063876       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4283.490464517677    All      -1.0246945635777454        0.7223863584486345        0.0766890975491541         0.572504015762415          
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8142.343856511953    All      0.3605900424336999         -0.10101366611410256      0.168717351425951          -0.14283043368157888       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5287.159070388858    All      0.3764570240874987         0.5669894041688828        -0.4020082650481982        0.044122882009700604       
Check         All|All|All                       All                  All      0.9654572799839991         1.0090616355285853        -0.06747817225400965       0.01119213222989801        
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6301.229948102021    All      -0.00018397883485084563    -4.48729309200393e-06     -0.00034922843197721467    4.288183927620954e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4283.490464517677    All      -0.0008705365577713305     0.0003878153248904877     -0.0010967240408347955     0.0003609448498591046      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8142.343856511953    All      -1.2844620828630305e-05    2.2649731124097905e-06    -0.00010522477092498361    2.2599359098284692e-07     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5287.159070388858    All      4.87710364273263e-05       0.0002423657562601166     -0.0017397275855680061     -1.4575882537467936e-05    
MWEBV         All|All|All                       All                  All      -0.8478024639784638        -4.068713074139385        0.02634530396232737        -1.0479808806247826        
Redshift      All|All|All                       All                  All      4.850107024777131          -1.9872444328566274       4.17721055013231           -2.040740590314538         
