#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7407.463372479676    All      0.4799953801811255         -0.10006711309724636       0.10981322161777267        -0.18404497782304138       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4330.349048130612    All      -0.8803036969980303        0.5575325054021363         0.12334270513143161        0.4738547729652029         
Zeropoint     AB|CNIa02|SDSS_g                      4674.648105890955    All      -0.30031011644450695       0.3413716358712904         -0.3503129241246455        0.1933840005572381         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5417.494483022249    All      0.5083517667857241         0.31875621280841315        0.11136368765219454        -0.0567878595338633        
Zeropoint     AB|CNIa02|SDSS_r                      6108.36761942434     All      1.1914216525636727         -0.12100739137057559       0.0036152330871379343      -0.4273399859939122        
Check         All|All|All                           All                  All      0.9991549860879849         0.9965858496140179         -0.002178076636108747      -0.0009340498283758603     
Lambda        AB|CNIa02|SDSS_i                      7407.463372479676    All      -2.9419683453092932e-05    -4.5338008772272864e-05    -0.000552724086039513      -2.9850659643841442e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4330.349048130612    All      -0.0004872691819224418     0.00020923185219265356     -0.00047854039728583054    0.00020551824094037024     
Lambda        AB|CNIa02|SDSS_g                      4674.648105890955    All      -2.9580187762436592e-05    -5.166698782546123e-06     2.4732864052920805e-06     8.062647953555533e-06      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5417.494483022249    All      8.29712225948367e-05       -2.251679873789703e-05     -0.0011675779311346864     -8.64645595759563e-05      
Lambda        AB|CNIa02|SDSS_r                      6108.36761942434     All      -6.39934295981596e-07      -4.953585294814489e-05     -0.0005581364416591483     -4.0834075296243194e-05    
MWEBV         All|All|All                           All                  All      -0.8820048449166205        -4.056080835151743         0.011176251765101236       -1.0334022292323466        
Redshift      All|All|All                           All                  All      4.816647569810023          -0.001321565296752425      5.36761030360487           -1.32983925847326          
