#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7407.463372479676    All      0.4533133134431562         -0.07975273378031389      0.17028676025350187        -0.1660380329214138        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4330.349048130612    All      -0.8979415646822394        0.5527404452597473        0.21117241450083757        0.481958511637981          
Zeropoint     AB|CNIa02|SDSS_g                      4674.648105890955    All      -0.28535729974139934       0.28407498486036076       -0.6070243378633711        0.15839412062360855        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5417.494483022249    All      0.5814145392828323         0.33243924022743343       0.21674458737414026        -0.07142713048375951       
Zeropoint     AB|CNIa02|SDSS_r                      6108.36761942434     All      1.1460466774748803         -0.09342001194605487      -0.004696646585711228      -0.40394466775347804       
Check         All|All|All                           All                  All      0.9974756657772299         0.9960819246211727        -0.013517222320602595      -0.0010571988970617952     
Lambda        AB|CNIa02|SDSS_i                      7407.463372479676    All      -6.195851346557279e-05     -4.192609439758128e-05    -0.0007135086769266266     -2.5315397286956467e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4330.349048130612    All      -0.00045079061943680454    0.00016507070848800783    -0.0005134238596567109     0.00017769454695499773     
Lambda        AB|CNIa02|SDSS_g                      4674.648105890955    All      6.913300996841173e-05      -5.432121824474013e-05    -2.8374950225060064e-06    -4.033972802320365e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5417.494483022249    All      -6.887521111056673e-05     -9.076370205281293e-07    -0.001418698096592118      -4.117070525833276e-05     
Lambda        AB|CNIa02|SDSS_r                      6108.36761942434     All      -7.101703005374015e-05     -6.443701806036586e-05    -0.0009187251793996874     -3.8855158822274566e-05    
MWEBV         All|All|All                           All                  All      -0.8819915318060136        -4.0546742040218575       0.017818162139615623       -1.0326519817598425        
Redshift      All|All|All                           All                  All      5.308757635993678          0.27689703248192643       7.0242689712349815         -1.325581678974775         
