#Format:      
#Parameter    MagSys|Instrument|Band                         RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thick    8175.458944777183     All      0.536801967950348          -0.10297123289051413       0.06723953906702107        -0.20539458761846263       
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thick    4332.009806227596     All      -1.1018624530854868        0.7334253793165324         -0.09894083209254223       0.5933983512720981         
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thick    6277.342711030142     All      1.086930235654578          -0.09897420672269064       0.001611815833690855       -0.3862161640417111        
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thick    5342.5600526451135    All      0.47629290850880623        0.4662014028094852         0.029080039679696412       -0.0019894267958314726     
Check         All|All|All                                    All                   All      0.9981626590282454         0.9976813425128128         -0.0010094375121338928     -0.00020182718390715504    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thick    8175.458944777183     All      -1.3160365711786483e-05    -1.2994056907793212e-05    -4.3744501249132126e-05    -1.8979439306637886e-06    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thick    4332.009806227596     All      -0.0010473012737452652     0.0006977098812196536      -0.0004480557760147373     0.0005484128708960586      
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thick    6277.342711030142     All      -0.00013105804130122294    1.0089312010505778e-05     0.00015098088072196532     5.271391986014267e-05      
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thick    5342.5600526451135    All      0.000362385457292314       9.631903372468103e-05      -0.0008567539726372719     -0.000124899582351446      
MWEBV         All|All|All                                    All                   All      -0.788654838091789         -4.060822966052946         0.007440945742187566       -1.0655207551773542        
Redshift      All|All|All                                    All                   All      6.528056800884138          -2.4071911004861946        2.9545335440180676         -2.778656940012983         
