#Format:      
#Parameter    MagSys|Instrument|Band                         RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thick    8175.458944777183     All      0.46718096320487773       -0.1888368636540072       0.21269841898379438       -0.2041948350026401       
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thick    4332.009806227596     All      -1.0983531772213657       0.7731586907802956        -0.15218302893966348      0.602821756689553         
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thick    6277.342711030142     All      1.2004548140971247        -0.08538201183565519      -0.21232628732535577      -0.4283145040053269       
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thick    5342.5600526451135    All      0.4297000335440332        0.4990615121666764        0.1568043320986456        0.029590772677575792      
Check         All|All|All                                    All                   All      0.9989826336246698        0.9980013274573096        0.004993434817420733      -9.680964083827112e-05    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thick    8175.458944777183     All      1.3242235609128629e-05    -3.709969436647434e-06    8.243067987237692e-06     -5.154040629161074e-06    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thick    4332.009806227596     All      -0.0010953809518289394    0.0008099166537673508     -0.000856340672032207     0.0005824035614097322     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thick    6277.342711030142     All      -0.0001590237611149841    -2.50076180641472e-05     -8.022640070049588e-05    4.0073330995071325e-05    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thick    5342.5600526451135    All      -6.381047418972381e-05    0.0004684570052980516     -0.0022359452515021195    7.359706189966938e-05     
MWEBV         All|All|All                                    All                   All      -0.7916390572618206       -4.083649408998724        0.06873938872041402       -1.0692485522743347       
Redshift      All|All|All                                    All                   All      7.04065308140849          -3.485706003573963        7.147411241931503         -3.1098253240514127       
