#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7401.807479468728     All      0.10418904831203038        0.0012186821042092788      0.11515304431510019       -0.028402084409333023     
Zeropoint     AB|SDSS|SDSS_r            5133.836490665851     All      0.7104337684831061         0.3969998593293056         -0.09849093787617136      -0.10649093408561433      
Zeropoint     AB|SDSS|SDSS_g            3928.8530950117683    All      -1.0203751226960556        0.5767505553603058         -0.09926679294882741      0.5158065561636391        
Zeropoint     AB|SDSS|SDSS_i            6225.674048165876     All      1.20353903280992           0.023792211010764674       0.08428038929873172       -0.3805213056889997       
Check         All|All|All               All                   All      0.997786726909001          0.9987613078045854         0.0016757027888331388     0.00039223197969201484    
Lambda        AB|SDSS|SDSS_z            7401.807479468728     All      -1.9707161802407775e-05    -1.90540510855849e-07      -2.115443055589981e-05    5.413180555502818e-06     
Lambda        AB|SDSS|SDSS_r            5133.836490665851     All      -8.810940097245306e-05     -6.857959270273433e-06     -0.002033452767721659     -6.427739005722726e-05    
Lambda        AB|SDSS|SDSS_g            3928.8530950117683    All      -0.0010087670305242939     0.000462937493579739       -0.0009833814535515956    0.00043549878337702426    
Lambda        AB|SDSS|SDSS_i            6225.674048165876     All      -0.00026086176384047246    -2.8976764361304026e-05    -0.000538508028924901     5.150143306724983e-05     
MWEBV         All|All|All               All                   All      -0.5724823512766828        -3.2156638681657412        0.07192606237313078       -0.8577614483205015       
Redshift      All|All|All               All                   All      5.611879996139673          0.3387054606761808         1.994065171223075         -1.628660458308121        
